ID,Value
AFG,
AGO,
ALB,68.86997943
AND,
ARE,
ARG,98.5274148
ARM,60.58144619
ATG,
AUS,
AUT,98.68991434
AZE,71.51716401
BDI,
BEL,98.36666667
BEN,
BFA,
BGD,55.67324671
BGR,96.55161315
BHR,98.74
BHS,
BIH,88.5754931
BLR,94.42866886
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,34.15480439
BWA,
CAF,
CAN,
CHE,95.45540541
CHL,98.15409731
CHN,
CIV,45.80163276
CMR,
COD,
COG,37.00161403
COL,71.12262226
COM,
CPV,
CRI,89.80124
CUB,
CYP,99.60258621
CZE,97.58014801
DEU,99.2154214
DJI,
DMA,
DNK,96.735564
DOM,
DZA,
ECU,74.36078187
EGY,
ERI,
ESP,98.17763229
EST,81.69057983
ETH,10.53542267
FIN,96.8509991
FJI,
FRA,93.31264
FSM,
GAB,
GBR,95.65
GEO,72.97048243
GHA,26.86491628
GIN,
GMB,
GNB,
GNQ,
GRC,98.8957731
GRD,
GTM,60.81896732
GUY,
HND,
HRV,90.45175145
HTI,
HUN,81.54177478
IDN,
IND,
IRL,98.8752878
IRN,91.3801432
IRQ,
ISL,98.28090909
ISR,99.39
ITA,93.67867925
JAM,
JOR,93.29336279
JPN,97.19420532
KAZ,
KEN,
KGZ,66.31041887
KHM,24.09879275
KIR,
KNA,
KOR,98.02417019
KWT,100
LAO,
LBN,47.52392848
LBR,
LBY,
LCA,
LIE,100
LKA,
LSO,
LTU,91.69440006
LUX,98.1860592
LVA,81.93607128
MAR,68.7992798
MCO,100
MDA,69.95697215
MDG,
MDV,
MEX,42.61278414
MHL,
MKD,83.48980811
MLI,
MLT,99.94285714
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,92.14594951
NAM,
NER,
NGA,19.40220701
NIC,58.71127307
NIU,
NLD,99.95509912
NOR,95.0159795
NPL,26.75171222
NRU,
NZL,100
OMN,88.5
PAK,35.6379572
PAN,
PER,50.15573365
PHL,
PLW,
PNG,
POL,93.8824786
PRK,
PRT,95.10915034
PRY,
PSE,
QAT,
ROU,87.77909927
RUS,75.51009655
RWA,
SAU,
SDN,
SEN,
SGP,100
SLB,
SLE,
SLV,
SMR,100
SOM,
SRB,88.14378725
SSD,
STP,
SUR,
SVK,93.411166
SVN,98.02892343
SWE,97.95
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,47.40354675
TKM,86.14747162
TLS,
TON,
TTO,
TUN,92.7380117
TUR,
TUV,
TWN,
TZA,
UGA,6.438999614
UKR,92.1625806
URY,
USA,99.02271621
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
