ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,19.34
AUT,7.91
AZE,
BDI,
BEL,9.13
BEN,
BFA,
BGD,
BGR,9.42
BHR,
BHS,
BIH,20.36
BLR,4.01
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,8.61
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,3.95
COM,
CPV,
CRI,
CUB,
CYP,33.26
CZE,9.59
DEU,6.98
DJI,
DMA,
DNK,9.58
DOM,
DZA,
ECU,0.14
EGY,
ERI,14.23
ESP,
EST,14.4
ETH,
FIN,10.44
FJI,
FRA,12.86
FSM,
GAB,
GBR,13.07
GEO,17.45
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,16.01
GRD,
GTM,
GUY,
HND,
HRV,13.93
HTI,
HUN,6.89
IDN,
IND,
IRL,3.35
IRN,
IRQ,
ISL,15.22
ISR,
ITA,22.55
JAM,
JOR,
JPN,
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,6.87
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,8.48
LUX,3.81
LVA,6.87
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,1.6
MHL,
MKD,13.03
MLI,
MLT,17.86
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,12.73
NOR,12.73
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,9.31
PRK,
PRT,18.49
PRY,
PSE,59.45
QAT,
ROU,18.49
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,3.16
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,9.39
SVN,15.72
SWE,10.5
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,4.76
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
