ID,Value
AFG,
AGO,3.21834
ALB,
AND,
ARE,
ARG,7.14075
ARM,
ATG,
AUS,17.17181
AUT,17.03283
AZE,
BDI,56.38043
BEL,3.84841
BEN,58.50151
BFA,18.37383
BGD,18.96431
BGR,
BHR,
BHS,
BIH,
BLR,15.86031
BLZ,
BOL,19.50186
BRA,41.78543
BRB,
BRN,5
BTN,32.21183
BWA,100
CAF,1.11412
CAN,6.89315
CHE,4.6252
CHL,20.84579
CHN,13.48734
CIV,38.9189
CMR,48.38967
COD,15.92431
COG,4.41479
COL,17.98801
COM,0
CPV,3.84414
CRI,49.14731
CUB,20.25
CYP,9.74812
CZE,27.85902
DEU,28.95175
DJI,0
DMA,
DNK,5.88043
DOM,
DZA,6.08384
ECU,25.93331
EGY,26.84932
ERI,3.64238
ESP,19.02001
EST,10.70789
ETH,
FIN,17.68303
FJI,5.50534
FRA,
FSM,
GAB,16.76957
GBR,
GEO,9.69742
GHA,1.39231
GIN,3.80264
GMB,8.97541
GNB,
GNQ,17.47449
GRC,4.04539
GRD,13.65509
GTM,51.9774
GUY,11.37601
HND,50.8493
HRV,2.80957
HTI,4.12371
HUN,42.29096
IDN,35.39281
IND,22.8092
IRL,0.86205
IRN,9.99815
IRQ,
ISL,1.21951
ISR,21.81818
ITA,35.11886
JAM,35.38186
JOR,35.48718
JPN,
KAZ,
KEN,13.21097
KGZ,12.28414
KHM,32.69536
KIR,
KNA,100
KOR,11.30336
KWT,
LAO,
LBN,2.54916
LBR,4.73798
LBY,
LCA,11.82266
LIE,60
LKA,
LSO,2.04082
LTU,21.10092
LUX,
LVA,17.90524
MAR,7.45739
MCO,
MDA,16.38142
MDG,39.38908
MDV,
MEX,13.32594
MHL,
MKD,
MLI,62.63919
MLT,100
MMR,15.37826
MNE,23.28053
MNG,40.2229
MOZ,25
MRT,
MUS,38.34197
MWI,24.05466
MYS,22.71232
NAM,9.95809
NER,19.26445
NGA,35.87874
NIC,31.86866
NIU,
NLD,23.93617
NOR,4.78038
NPL,16.22662
NRU,
NZL,36.95823
OMN,
PAK,
PAN,43.66472
PER,25.47365
PHL,23.19652
PLW,
PNG,5.35177
POL,1.95019
PRK,22.44087
PRT,21.14236
PRY,12.29524
PSE,
QAT,
ROU,37.9828
RUS,2.16785
RWA,12.91667
SAU,0.30706
SDN,24.51335
SEN,18.08292
SGP,20.4893
SLB,0
SLE,7.98292
SLV,12.07547
SMR,
SOM,0
SRB,18.41912
SSD,
STP,
SUR,12.32912
SVK,58.35052
SVN,14.34295
SWE,7.12428
SWZ,7.74744
SYC,49.18113
SYR,
TCD,
TGO,
THA,64.78444
TJK,10.67961
TKM,
TLS,
TON,22.22222
TTO,
TUN,7.20461
TUR,5.28382
TUV,
TWN,
TZA,4.34216
UGA,35.19499
UKR,11.70136
URY,1.77778
USA,10.59772
UZB,6.52194
VCT,
VEN,51.50911
VNM,13.80898
VUT,
WSM,
XKX,
YEM,5.64663
ZAF,10.24781
ZMB,21.95949
ZWE,
VAT,
