ID,Value
AFG,7632
AGO,
ALB,
AND,
ARE,
ARG,
ARM,49.7
ATG,
AUS,
AUT,11270.98
AZE,519.13
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,1458
BHR,
BHS,
BIH,24.08
BLR,6428
BLZ,
BOL,
BRA,15648
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,19280.84
CHL,
CHN,695955
CIV,
CMR,
COD,28.4
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,7380
DEU,
DJI,
DMA,
DNK,5884
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,26169.09
EST,
ETH,
FIN,3868
FJI,
FRA,
FSM,
GAB,127
GBR,
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,836
HTI,
HUN,5391
IDN,
IND,
IRL,
IRN,12982
IRQ,
ISL,
ISR,
ITA,39290
JAM,
JOR,
JPN,
KAZ,18165.1
KEN,
KGZ,40.8
KHM,
KIR,
KNA,
KOR,23747
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,396
LUX,
LVA,40.2
MAR,5208
MCO,
MDA,121.5
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,956
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,9466.3
PRK,
PRT,3802.76
PRY,
PSE,
QAT,
ROU,4460
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,3193.72
SVN,680.1
SWE,
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,18.4
TKM,2336
TLS,
TON,
TTO,
TUN,
TUR,4325
TUV,
TWN,
TZA,
UGA,
UKR,37360
URY,
USA,10492
UZB,3934
VCT,
VEN,
VNM,3416
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
