ID,Value
AFG,42559140
AGO,95676990
ALB,32761970
AND,
ARE,455435300
ARG,504545700
ARM,24046150
ATG,1357910
AUS,1050746000
AUT,276854300
AZE,61789030
BDI,17185480
BEL,266376200
BEN,48412800
BFA,75561600
BGD,387747800
BGR,89393430
BHR,21538310
BHS,7502458
BIH,29299520
BLR,956090.3
BLZ,2798506
BOL,45436500
BRA,2758833000
BRB,3152758
BRN,8181748
BTN,8401626
BWA,78839690
CAF,11843620
CAN,1258147000
CHE,261576600
CHL,303345600
CHN,27670520000
CIV,22551210
CMR,46269460
COD,162708600
COG,11581210
COL,475064000
COM,
CPV,4502245
CRI,37714420
CUB,78751130
CYP,23488570
CZE,
DEU,1830200000
DJI,2257335
DMA,
DNK,140101900
DOM,64581470
DZA,123929900
ECU,162843200
EGY,462480900
ERI,31716230
ESP,1021286000
EST,38687290
ETH,
FIN,199198100
FJI,6378013
FRA,1425417000
FSM,
GAB,9055632
GBR,1475594000
GEO,35611990
GHA,102082700
GIN,28725550
GMB,5005466
GNB,
GNQ,
GRC,279159500
GRD,
GTM,56106010
GUY,87074200
HND,31613450
HRV,52962710
HTI,12294860
HUN,143277300
IDN,1643574000
IND,6135949000
IRL,94894170
IRN,1119547000
IRQ,102399200
ISL,10618780
ISR,178255100
ITA,1182258000
JAM,21932570
JOR,62574100
JPN,3138514000
KAZ,325216100
KEN,148258400
KGZ,48093690
KHM,24444170
KIR,
KNA,
KOR,1346076000
KWT,189423200
LAO,50568020
LBN,89866000
LBR,7590649
LBY,24088160
LCA,
LIE,
LKA,79659480
LSO,25855550
LTU,103309800
LUX,60176930
LVA,45082750
MAR,130871500
MCO,
MDA,4121209
MDG,21488900
MDV,6369170
MEX,1086226000
MHL,
MKD,
MLI,84428380
MLT,11190400
MMR,79858450
MNE,13792090
MNG,42617860
MOZ,58800890
MRT,10969310
MUS,26386250
MWI,22568510
MYS,714894800
NAM,18287180
NER,63928090
NGA,453638200
NIC,24055530
NIU,
NLD,455409500
NOR,198165300
NPL,79169310
NRU,
NZL,114472100
OMN,47881180
PAK,626975300
PAN,30517410
PER,286983600
PHL,455523300
PLW,
PNG,21296200
POL,657703500
PRK,25768160
PRT,171271000
PRY,73214530
PSE,
QAT,34214600
ROU,331030300
RUS,1422368000
RWA,38249140
SAU,388930600
SDN,
SEN,38646350
SGP,416957700
SLB,
SLE,48003950
SLV,33843540
SMR,
SOM,36190860
SRB,
SSD,107482100
STP,1276482
SUR,7911437
SVK,245948800
SVN,46558060
SWE,239680900
SWZ,13183460
SYC,2241828
SYR,58777970
TCD,23102590
TGO,19533810
THA,1028975000
TJK,33307470
TKM,124336800
TLS,
TON,
TTO,7494912
TUN,70087680
TUR,1291545000
TUV,
TWN,
TZA,78764380
UGA,106739900
UKR,531955900
URY,120202000
USA,9912468000
UZB,197445400
VCT,
VEN,219655900
VNM,956590000
VUT,2182655
WSM,1652718
XKX,
YEM,32636860
ZAF,477308100
ZMB,62102120
ZWE,10067360
VAT,
