ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,5547000
AUT,1240500
AZE,
BDI,
BEL,1615000
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,5994677
CHE,1924000
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,17600
CUB,
CYP,
CZE,850910
DEU,24414000
DJI,
DMA,
DNK,1223000
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,3392500
EST,117390
ETH,
FIN,770310
FJI,
FRA,7433000
FSM,
GAB,
GBR,8601880
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,869000
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,963000
IDN,
IND,
IRL,828500
IRN,
IRQ,
ISL,37180
ISR,803800
ITA,7649000
JAM,
JOR,
JPN,8972000
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,10586000
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,298172
LUX,101490
LVA,182000
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,2100000
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,2179000
NOR,571500
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,2867000
PRK,
PRT,764670
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,136230
SVN,430040
SWE,1416850
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,0
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,60219000
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
