ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,41.585
AUT,26.238
AZE,
BDI,
BEL,35.093
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,17.915
CHE,31.907
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,0.941
CUB,
CYP,
CZE,25.497
DEU,47.827
DJI,
DMA,
DNK,27.269
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,16.835
EST,27.033
ETH,
FIN,28.131
FJI,
FRA,22.255
FSM,
GAB,
GBR,27.371
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,15.56
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,25.957
IDN,
IND,
IRL,33.963
IRN,
IRQ,
ISL,21.307
ISR,15.68
ITA,29.136
JAM,
JOR,
JPN,20.542
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,58.104
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,23.256
LUX,28.508
LVA,25.173
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,4.988
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,24.608
NOR,26.129
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,26.39
PRK,
PRT,16.233
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,7.67
SVN,47.796
SWE,32.374
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,0
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,25.683
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
