ID,Value
AFG,18.42347717
AGO,49.56821033
ALB,38.61521047
AND,19.74780863
ARE,0.1371080461
ARG,10.04007761
ARM,15.79200384
ATG,0
AUS,9.18050296
AUT,34.39499175
AZE,2.310757686
BDI,95.67892425
BEL,9.201640531
BEN,50.86261794
BFA,74.16718786
BGD,34.74706901
BGR,17.65007793
BHR,0
BHS,1.210512884
BIH,40.75006023
BLR,6.770869532
BLZ,35.0236296
BOL,17.53818183
BRA,43.7903892
BRB,2.786358206
BRN,0.01493503589
BTN,86.90454832
BWA,28.87982699
CAF,76.56702001
CAN,22.02535921
CHE,25.29198368
CHL,24.88255427
CHN,12.41335257
CIV,64.52802565
CMR,76.53840041
COD,95.81769971
COG,62.40211902
COL,23.56475752
COM,45.33305239
CPV,26.5797159
CRI,38.73341388
CUB,19.28132064
CYP,9.942066016
CZE,14.82856195
DEU,14.2062527
DJI,15.38059522
DMA,7.82979664
DNK,33.17027717
DOM,16.48010921
DZA,0.05895868409
ECU,13.81668594
EGY,5.709377265
ERI,79.7674723
ESP,16.25409774
EST,27.47683347
ETH,92.16346114
FIN,43.23526259
FJI,31.26394709
FRA,13.49926232
FSM,1.196237862
GAB,82.00784369
GBR,8.711685574
GEO,28.66253881
GHA,41.41279431
GIN,76.26839132
GMB,51.50886249
GNB,86.85179394
GNQ,7.822799777
GRC,17.17004755
GRD,10.91957215
GTM,63.65099179
GUY,25.25872772
HND,51.53741358
HRV,33.12746664
HTI,76.07221323
HUN,15.55936205
IDN,36.8793481
IND,36.02122257
IRL,9.081399013
IRN,0.9130050567
IRQ,0.7988307687
ISL,77.02968921
ISR,3.707766913
ITA,16.51685058
JAM,16.77190746
JOR,3.229170042
JPN,6.297357081
KAZ,1.558442912
KEN,72.66275251
KGZ,23.3068222
KHM,64.92377591
KIR,4.253998693
KNA,1.642191194
KOR,2.707702804
KWT,0
LAO,59.31586075
LBN,3.64671967
LBR,83.84704334
LBY,1.966554457
LCA,2.132623536
LIE,63.13444144
LKA,52.87589204
LSO,52.13920609
LTU,28.96117925
LUX,9.031313661
LVA,38.09801717
MAR,11.31745963
MCO,
MDA,14.27368871
MDG,70.17441591
MDV,1.009594693
MEX,9.215213455
MHL,11.16448465
MKD,24.21812973
MLI,61.52698472
MLT,5.355004746
MMR,61.52781165
MNE,43.00406055
MNG,3.42973729
MOZ,86.40050892
MRT,32.15957247
MUS,11.53736196
MWI,83.6494337
MYS,5.194442589
NAM,26.46842984
NER,78.93982752
NGA,86.63562156
NIC,48.20490919
NIU,
NLD,5.889463079
NOR,57.7720016
NPL,85.26395819
NRU,0.07629036592
NZL,30.78917555
OMN,0
PAK,46.47632492
PAN,21.23415234
PER,25.50390552
PHL,27.45154445
PLW,0
PNG,52.49865195
POL,11.91148821
PRK,23.12326149
PRT,27.15729839
PRY,61.67699459
PSE,10.47271496
QAT,0
ROU,23.69779403
RUS,3.304228351
RWA,86.65537429
SAU,0.005976542163
SDN,61.59674748
SEN,42.71175163
SGP,0.7086352972
SLB,63.3074464
SLE,77.66055863
SLV,24.40076999
SMR,
SOM,94.28596661
SRB,21.17388528
SSD,39.07438432
STP,41.05599898
SUR,24.91311036
SVK,13.40916822
SVN,20.87739614
SWE,53.2477698
SWZ,66.10465921
SYC,1.352935548
SYR,0.5211551717
TCD,89.35739557
TGO,71.26466714
THA,22.86307013
TJK,44.65920392
TKM,0.04088788642
TLS,18.22368928
TON,1.879751582
TTO,0.2842057639
TUN,12.56235035
TUR,13.37423004
TUV,0
TWN,
TZA,85.71304194
UGA,89.05794898
UKR,4.144318039
URY,58.02204118
USA,8.716935867
UZB,2.9701787
VCT,5.807433397
VEN,12.84157855
VNM,34.99856984
VUT,36.1110646
WSM,34.32489441
XKX,20.45090897
YEM,2.276416687
ZAF,17.15014125
ZMB,87.98545236
ZWE,81.79780855
VAT,
