ID,Value
AFG,
AGO,
ALB,
AND,
ARE,2406.573242
ARG,
ARM,
ATG,
AUS,
AUT,5157.517578
AZE,
BDI,
BEL,4734.038086
BEN,
BFA,47.57672119
BGD,
BGR,2243.709473
BHR,
BHS,
BIH,404.3999023
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,502.1019287
CHN,1205.682495
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,1000.231628
CZE,3518.818848
DEU,4893.152832
DJI,
DMA,
DNK,7514.70166
DOM,
DZA,
ECU,
EGY,680.3027954
ERI,
ESP,2732.246338
EST,3305.288818
ETH,
FIN,6525.011719
FJI,
FRA,
FSM,
GAB,
GBR,4429.583984
GEO,1336.562744
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,2629.090332
GRD,
GTM,
GUY,
HND,
HRV,1793.146118
HTI,
HUN,2645.673828
IDN,
IND,
IRL,5563.386719
IRN,
IRQ,63.73207855
ISL,6635.105469
ISR,
ITA,2131.484619
JAM,
JOR,598.5742798
JPN,5209.970703
KAZ,687.6351929
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,7113.169434
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,2931.660889
LUX,4350.869629
LVA,1599.569702
MAR,1068.960205
MCO,
MDA,725.741333
MDG,24.70420074
MDV,
MEX,
MHL,
MKD,854.144165
MLI,
MLT,1930.771729
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,4842.667969
NOR,6073.236816
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,36.30802155
POL,
PRK,
PRT,3928.602539
PRY,
PSE,
QAT,
ROU,912.4241333
RUS,2979.095215
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,2132.772705
SSD,
STP,
SUR,
SVK,2598.904053
SVN,3899.200195
SWE,7153.419434
SWZ,
SYC,
SYR,
TCD,58.32883835
TGO,31.76940918
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,1964.966431
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,1037.240845
URY,645.178894
USA,
UZB,505.9656982
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
