ID,Value
AFG,
AGO,5.6
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,0.06
BGD,0.5
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,0.09
BRA,1.1
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,-0.25
CHN,-0.6
CIV,0.68
CMR,-0.01
COD,-0.25
COG,
COL,-0.74
COM,
CPV,0.3
CRI,-0.16
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,0.51
DZA,
ECU,-0.2
EGY,
ERI,
ESP,
EST,
ETH,
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,-0.82
GIN,1.45
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,-0.62
GUY,
HND,-0.25
HRV,
HTI,-0.27
HUN,
IDN,-0.6
IND,-0.28
IRL,
IRN,
IRQ,
ISL,
ISR,0.08
ITA,-2.54
JAM,
JOR,
JPN,1.59
KAZ,
KEN,
KGZ,
KHM,-0.02
KIR,
KNA,
KOR,
KWT,
LAO,0.02
LBN,
LBR,0.25
LBY,
LCA,
LIE,
LKA,0.27
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,-0.56
MHL,
MKD,
MLI,0.46
MLT,
MMR,4.43
MNE,
MNG,0.23
MOZ,2.5
MRT,0.03
MUS,
MWI,
MYS,
NAM,0.1
NER,-0.15
NGA,7.5
NIC,0.14
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,-0.41
PAN,0.36
PER,-0.13
PHL,0.19
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,-1.51
RWA,-0.01
SAU,-2.05
SDN,
SEN,-0.25
SGP,
SLB,
SLE,
SLV,-0.15
SMR,
SOM,0.21
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,1.7
SYC,
SYR,
TCD,0.68
TGO,-0.02
THA,-0.57
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,-0.08
UKR,
URY,0.01
USA,
UZB,
VCT,
VEN,
VNM,0.14
VUT,
WSM,0.23
XKX,
YEM,
ZAF,0.08
ZMB,
ZWE,-0.28
VAT,
