ID,Value
AFG,9.80392
AGO,
ALB,92.15686
AND,
ARE,92.15686
ARG,80.39216
ARM,37.2549
ATG,31.37255
AUS,100
AUT,100
AZE,
BDI,66.66667
BEL,100
BEN,78.43137
BFA,86.27451
BGD,
BGR,100
BHR,41.17647
BHS,
BIH,72.54902
BLR,
BLZ,84.31373
BOL,31.37255
BRA,100
BRB,
BRN,
BTN,
BWA,9.80392
CAF,
CAN,100
CHE,100
CHL,92.15686
CHN,98.03922
CIV,80.39216
CMR,35.29412
COD,92.15686
COG,37.2549
COL,92.15686
COM,
CPV,100
CRI,70.58824
CUB,88.23529
CYP,100
CZE,100
DEU,100
DJI,9.80392
DMA,31.37255
DNK,100
DOM,100
DZA,
ECU,88.23529
EGY,
ERI,92.15686
ESP,100
EST,100
ETH,64.70588
FIN,100
FJI,
FRA,100
FSM,
GAB,17.64706
GBR,100
GEO,72.54902
GHA,80.39216
GIN,80.39216
GMB,100
GNB,98.03922
GNQ,9.80392
GRC,100
GRD,
GTM,37.2549
GUY,84.31373
HND,74.5098
HRV,100
HTI,
HUN,100
IDN,43.13726
IND,94.11765
IRL,100
IRN,94.11765
IRQ,
ISL,
ISR,90.19608
ITA,100
JAM,84.31373
JOR,84.31373
JPN,100
KAZ,41.17647
KEN,62.7451
KGZ,86.27451
KHM,9.80392
KIR,
KNA,15.68628
KOR,72.54902
KWT,68.62745
LAO,19.60784
LBN,72.54902
LBR,43.13726
LBY,64.70588
LCA,
LIE,92.15686
LKA,68.62745
LSO,9.80392
LTU,100
LUX,100
LVA,100
MAR,80.39216
MCO,
MDA,78.43137
MDG,92.15686
MDV,9.80392
MEX,92.15686
MHL,9.80392
MKD,92.15686
MLI,64.70588
MLT,
MMR,
MNE,0
MNG,64.70588
MOZ,31.37255
MRT,94.11765
MUS,84.31373
MWI,84.31713
MYS,100
NAM,9.80392
NER,82.35294
NGA,70.58824
NIC,74.5098
NIU,
NLD,100
NOR,94.11765
NPL,31.37255
NRU,
NZL,90.19608
OMN,84.31373
PAK,64.70588
PAN,98.03922
PER,92.15686
PHL,62.7451
PLW,
PNG,
POL,100
PRK,56.86275
PRT,100
PRY,49.01961
PSE,
QAT,86.27451
ROU,100
RUS,19.60784
RWA,54.90196
SAU,64.70588
SDN,68.62745
SEN,64.70588
SGP,92.15686
SLB,
SLE,
SLV,92.15686
SMR,
SOM,9.80392
SRB,100
SSD,
STP,9.80392
SUR,56.86275
SVK,100
SVN,100
SWE,100
SWZ,9.80392
SYC,
SYR,76.47059
TCD,100
TGO,72.54902
THA,84.31373
TJK,
TKM,
TLS,
TON,21.56863
TTO,64.70588
TUN,
TUR,
TUV,
TWN,
TZA,64.70588
UGA,39.21569
UKR,9.80392
URY,92.15686
USA,
UZB,
VCT,9.80392
VEN,88.23529
VNM,60.78431
VUT,
WSM,64.70588
XKX,
YEM,62.7451
ZAF,84.31373
ZMB,21.56863
ZWE,50.98039
VAT,
