ID,Value
AFG,
AGO,
ALB,2.698926422
AND,
ARE,0.8938111055
ARG,5.942564451
ARM,2.978125769
ATG,0.9411560778
AUS,0.6552196499
AUT,
AZE,2.141251748
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,1.136042013
BHR,
BHS,28.40055737
BIH,1.275363219
BLR,
BLZ,37.59916781
BOL,6.300191217
BRA,29.5279565
BRB,
BRN,
BTN,
BWA,
CAF,19.75737596
CAN,1.684104545
CHE,
CHL,3.462782804
CHN,0.6156007119
CIV,
CMR,
COD,
COG,
COL,25.50432615
COM,
CPV,11.48582908
CRI,11.9049816
CUB,4.987686431
CYP,1.11086767
CZE,0.6126471022
DEU,1.176192851
DJI,
DMA,
DNK,0.9806813823
DOM,15.1817049
DZA,
ECU,5.853766682
EGY,
ERI,
ESP,0.6334845178
EST,
ETH,
FIN,1.417769376
FJI,
FRA,1.352186846
FSM,
GAB,
GBR,1.202410668
GEO,0.9896170395
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,0.7503513386
GRD,10.24931935
GTM,27.25501908
GUY,18.37077608
HND,56.51570309
HRV,1.044634477
HTI,
HUN,2.071499338
IDN,0.4950679287
IND,3.223699409
IRL,0.8020795982
IRN,
IRQ,
ISL,0.3004477272
ISR,
ITA,0.6730631628
JAM,47.01105843
JOR,1.547627698
JPN,0.2835233107
KAZ,
KEN,4.87343584
KGZ,4.485384601
KHM,
KIR,
KNA,
KOR,0.7011141843
KWT,
LAO,
LBN,3.993101823
LBR,
LBY,
LCA,
LIE,0
LKA,2.54954291
LSO,
LTU,5.246866438
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,19.2639601
MHL,
MKD,
MLI,
MLT,
MMR,2.265309853
MNE,4.455617436
MNG,5.655921518
MOZ,
MRT,
MUS,1.821944963
MWI,
MYS,
NAM,
NER,
NGA,
NIC,7.367124637
NIU,
NLD,0.5533629041
NOR,0.5143052285
NPL,2.163779187
NRU,
NZL,
OMN,
PAK,4.408395266
PAN,9.669590586
PER,7.665964527
PHL,11.01982824
PLW,
PNG,
POL,0.6701461703
PRK,
PRT,0.6359328418
PRY,
PSE,0.6882407765
QAT,
ROU,1.248801252
RUS,10.8161824
RWA,
SAU,
SDN,
SEN,
SGP,0.3205579361
SLB,
SLE,
SLV,82.8422575
SMR,
SOM,
SRB,1.39427214
SSD,
STP,
SUR,
SVK,1.047459855
SVN,0.4816398411
SWE,1.077762868
SWZ,
SYC,12.73687942
SYR,
TCD,
TGO,
THA,3.239437244
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,7.694270457
USA,5.353325095
UZB,
VCT,36.45616875
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,33.97095703
ZMB,
ZWE,
VAT,
