ID,Value
AFG,
AGO,
ALB,66.62518
AND,100
ARE,98.62189
ARG,22.48399
ARM,
ATG,
AUS,73.41174
AUT,96.44897
AZE,
BDI,
BEL,97.50156
BEN,
BFA,
BGD,
BGR,73.37876
BHR,
BHS,
BIH,22.70747
BLR,85.66141
BLZ,
BOL,
BRA,34.33306
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,79.46319
CHE,99.07665
CHL,72.48315
CHN,45.09982
CIV,
CMR,
COD,
COG,
COL,22.88274
COM,
CPV,
CRI,
CUB,
CYP,36.82091
CZE,93.74967
DEU,98.2174
DJI,
DMA,
DNK,95.01991
DOM,
DZA,17.74507
ECU,43.34542
EGY,57.60529
ERI,
ESP,90.0976
EST,92.37381
ETH,
FIN,84.22409
FJI,
FRA,85.5128
FSM,
GAB,
GBR,94.43817
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,50.26489
GRD,
GTM,
GUY,
HND,
HRV,58.71391
HTI,
HUN,50.05515
IDN,
IND,
IRL,70.14559
IRN,
IRQ,18.57058
ISL,69.79908
ISR,90.52152
ITA,88.40961
JAM,
JOR,82.91304
JPN,97.89931
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,98.49157
KWT,100
LAO,
LBN,13.43503
LBR,
LBY,15.2526
LCA,
LIE,98.7
LKA,
LSO,
LTU,98.31194
LUX,97.37172
LVA,83.18115
MAR,42.95539
MCO,100
MDA,
MDG,
MDV,
MEX,51.08738
MHL,
MKD,
MLI,
MLT,99.96136
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,71.52656
NAM,
NER,3.47701
NGA,
NIC,
NIU,
NLD,99.72122
NOR,79.07222
NPL,
NRU,
NZL,73.07673
OMN,
PAK,
PAN,
PER,39.23309
PHL,
PLW,19.50056
PNG,
POL,75.21192
PRK,
PRT,62.46613
PRY,
PSE,68.65326
QAT,76.9
ROU,56.7121
RUS,
RWA,
SAU,70.77905
SDN,
SEN,14.55314
SGP,100
SLB,
SLE,
SLV,
SMR,77.9
SOM,0.70189
SRB,25.16759
SSD,
STP,
SUR,
SVK,83.45431
SVN,63.45927
SWE,92.00457
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,70.56828
TUR,35.02751
TUV,4.2321
TWN,3.76468
TZA,
UGA,3.76468
UKR,
URY,
USA,89.91757
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
