ID,Value
AFG,
AGO,54203617748
ALB,4492173141
AND,
ARE,383447243022
ARG,73903176251
ARM,4144393143
ATG,
AUS,321686787764
AUT,248294581013
AZE,
BDI,
BEL,489294959097
BEN,3309747858
BFA,
BGD,27568322833
BGR,39227155814
BHR,
BHS,3866948468
BIH,7855233290
BLR,42892640204
BLZ,862520966.1
BOL,9329328797
BRA,288894567558
BRB,
BRN,7347693704
BTN,615099872.9
BWA,
CAF,188605619.6
CAN,579435227206
CHE,462951002207
CHL,87952091183
CHN,
CIV,14808197863
CMR,7019489819
COD,18681153203
COG,10036706837
COL,55785365099
COM,
CPV,722943585.9
CRI,18166490479
CUB,
CYP,15970184125
CZE,200324794157
DEU,1933017108655
DJI,
DMA,
DNK,203059347537
DOM,18502970937
DZA,
ECU,24034608301
EGY,67367052703
ERI,
ESP,494416920498
EST,21471565179
ETH,
FIN,109659696130
FJI,
FRA,894468190828
FSM,
GAB,9116639241
GBR,861585908026
GEO,
GHA,19605206309
GIN,3714594537
GMB,265613064.3
GNB,192809154.1
GNQ,9831232842
GRC,79145081021
GRD,
GTM,13893061840
GUY,
HND,9599417887
HRV,30804072099
HTI,1412134741
HUN,153130529201
IDN,236776845937
IND,530168617843
IRL,437580261187
IRN,155051168316
IRQ,
ISL,10648034989
ISR,
ITA,671989924127
JAM,
JOR,12368611602
JPN,
KAZ,
KEN,9683632125
KGZ,2278185159
KHM,12864098808
KIR,
KNA,
KOR,726622470614
KWT,
LAO,5504464287
LBN,12482722509
LBR,
LBY,
LCA,
LIE,
LKA,15147411276
LSO,
LTU,41660682079
LUX,135866024572
LVA,18870902934
MAR,42847924958
MCO,
MDA,4125264980
MDG,
MDV,
MEX,455285567366
MHL,
MKD,7010807443
MLI,3292234677
MLT,
MMR,
MNE,2005607268
MNG,9597556102
MOZ,6058999334
MRT,2924239571
MUS,
MWI,9675856460
MYS,265512402595
NAM,5081052854
NER,1466620901
NGA,
NIC,5333336814
NIU,
NLD,819534229544
NOR,180978629533
NPL,2161276246
NRU,
NZL,
OMN,
PAK,21348509640
PAN,
PER,53189392743
PHL,117348402717
PLW,
PNG,
POL,306519417637
PRK,
PRT,105178393539
PRY,14579841258
PSE,2276929255
QAT,
ROU,98839318481
RUS,534869530370
RWA,1892035472
SAU,308500266667
SDN,10599011799
SEN,5699074449
SGP,618413788045
SLB,
SLE,
SLV,6103377287
SMR,
SOM,
SRB,23909673236
SSD,
STP,
SUR,
SVK,109225952419
SVN,44679529094
SWE,285353188202
SWZ,
SYC,
SYR,
TCD,4963479599
TGO,2648848025
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,257904543089
TUV,
TWN,
TZA,
UGA,4372296558
UKR,43237687131
URY,12852663297
USA,
UZB,13894323511
VCT,
VEN,
VNM,209782413175
VUT,
WSM,
XKX,
YEM,
ZAF,125119475800
ZMB,
ZWE,4133759548
VAT,
