ID,Value
AFG,0
AGO,-0.21432
ALB,-0.12397
AND,0
ARE,
ARG,-1.06015
ARM,0.06035
ATG,0
AUS,0.24874
AUT,0.04659
AZE,2.47485
BDI,1.75546
BEL,0.06451
BEN,-1.12111
BFA,-1.08175
BGD,-0.18096
BGR,0.45608
BHR,2.80405
BHS,0
BIH,0
BLR,0.2321
BLZ,-0.36329
BOL,-0.51952
BRA,-0.19819
BRB,0
BRN,0
BTN,0.36435
BWA,-0.91703
CAF,-0.07022
CAN,-0.01342
CHE,
CHL,1.78814
CHN,0.7572
CIV,-3.0241
CMR,-1.12989
COD,-0.20285
COG,-0.06881
COL,-0.0456
COM,-1.04735
CPV,1.10651
CRI,1.13333
CUB,1.76471
CYP,-0.01632
CZE,0.07516
DEU,0.01752
DJI,0
DMA,-0.60284
DNK,0.84079
DOM,1.76386
DZA,0.39314
ECU,-0.61594
EGY,0.84282
ERI,-0.28887
ESP,
EST,-0.01791
ETH,0.32803
FIN,0
FJI,0.48473
FRA,0.67874
FSM,
GAB,0.893
GBR,
GEO,0
GHA,0.30697
GIN,-0.55628
GMB,0.33113
GNB,-0.49953
GNQ,
GRC,0.76206
GRD,
GTM,-0.99768
GUY,-0.0604
HND,-2.42615
HRV,0.02082
HTI,-0.80493
HUN,0.22382
IDN,-0.73549
IND,0.25433
IRL,
IRN,0
IRQ,0
ISL,2.87443
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,
KEN,
KGZ,
KHM,-1.29526
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,
SYR,
TCD,-2.41206
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
