ID,Value
AFG,
AGO,15.24
ALB,89.32
AND,
ARE,
ARG,
ARM,0
ATG,
AUS,
AUT,100
AZE,
BDI,79
BEL,100
BEN,49.15
BFA,
BGD,
BGR,98
BHR,
BHS,
BIH,73.32
BLR,
BLZ,
BOL,
BRA,0
BRB,
BRN,
BTN,
BWA,100
CAF,
CAN,0
CHE,
CHL,0
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,100
DEU,100
DJI,
DMA,
DNK,
DOM,0
DZA,
ECU,100
EGY,
ERI,
ESP,
EST,100
ETH,
FIN,
FJI,
FRA,
FSM,
GAB,0
GBR,0
GEO,0
GHA,95.68
GIN,
GMB,0
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,0
HRV,
HTI,
HUN,100
IDN,
IND,
IRL,100
IRN,
IRQ,0
ISL,
ISR,
ITA,100
JAM,
JOR,13.91
JPN,
KAZ,0
KEN,0
KGZ,
KHM,
KIR,
KNA,
KOR,0
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,0
LTU,50.17
LUX,100
LVA,95.04
MAR,0
MCO,
MDA,
MDG,
MDV,
MEX,0
MHL,
MKD,
MLI,60.67
MLT,
MMR,
MNE,0
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,100
NER,74.99
NGA,
NIC,
NIU,
NLD,100
NOR,54.41
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,100
PRK,
PRT,
PRY,0
PSE,
QAT,0
ROU,100
RUS,
RWA,
SAU,
SDN,
SEN,0
SGP,
SLB,
SLE,
SLV,0
SMR,
SOM,0
SRB,78.09
SSD,
STP,
SUR,
SVK,100
SVN,100
SWE,100
SWZ,
SYC,
SYR,
TCD,53.09
TGO,76.02
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,100
TUR,
TUV,
TWN,
TZA,
UGA,0
UKR,
URY,
USA,
UZB,
VCT,
VEN,0
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,0
ZWE,
VAT,
