ID,Value
AFG,201.00577
AGO,43.15511
ALB,0.29309
AND,
ARE,
ARG,-10.0466
ARM,14.56514
ATG,0.00383
AUS,
AUT,
AZE,3.53076
BDI,100.68707
BEL,
BEN,47.73034
BFA,169.1261
BGD,195.5882
BGR,
BHR,
BHS,
BIH,33.25302
BLR,5.7332
BLZ,3.08731
BOL,17.96844
BRA,4.56738
BRB,0.00929
BRN,
BTN,2.0479
BWA,5.31571
CAF,48.77066
CAN,
CHE,
CHL,0.20035
CHN,120.12343
CIV,100.09494
CMR,51.09941
COD,414.03994
COG,8.47115
COL,1.53778
COM,6.51451
CPV,0.47844
CRI,0.08727
CUB,1.29621
CYP,
CZE,
DEU,
DJI,10.66329
DMA,0.09381
DNK,
DOM,1.23267
DZA,0.69721
ECU,8.10282
EGY,15.09362
ERI,12.06614
ESP,
EST,
ETH,360.91922
FIN,
FJI,6.24606
FRA,
FSM,0.34584
GAB,4.45794
GBR,
GEO,8.22807
GHA,136.16552
GIN,101.89243
GMB,25.88231
GNB,20.14274
GNQ,1.45946
GRC,
GRD,1.03742
GTM,20.85415
GUY,1.95379
HND,26.59893
HRV,0.077
HTI,93.23857
HUN,
IDN,109.47133
IND,290.28451
IRL,
IRN,2.42493
IRQ,4.82029
ISL,
ISR,
ITA,
JAM,0.10186
JOR,24.30736
JPN,
KAZ,6.44689
KEN,158.14655
KGZ,16.84283
KHM,45.89456
KIR,1.03742
KNA,
KOR,
KWT,
LAO,21.07802
LBN,34.32619
LBR,65.28035
LBY,0.45525
LCA,1.12077
LIE,
LKA,16.15831
LSO,13.84045
LTU,
LUX,
LVA,
MAR,65.37275
MCO,
MDA,13.52935
MDG,100.5531
MDV,0.53381
MEX,1.38265
MHL,0.08961
MKD,0.98028
MLI,133.06681
MLT,
MMR,144.79275
MNE,0.70579
MNG,18.98806
MOZ,232.9183
MRT,9.34534
MUS,0.35313
MWI,227.36741
MYS,-2.56818
NAM,9.81937
NER,71.56988
NGA,470.74929
NIC,21.51082
NIU,0.00975
NLD,
NOR,
NPL,70.30613
NRU,0.49122
NZL,
OMN,
PAK,306.07801
PAN,-0.16647
PER,14.29504
PHL,70.52063
PLW,0.08961
PNG,19.85535
POL,
PRK,22.9029
PRT,
PRY,5.06486
PSE,76.95289
QAT,
ROU,
RUS,
RWA,79.15466
SAU,
SDN,
SEN,81.60554
SGP,
SLB,15.46513
SLE,82.82477
SLV,4.72036
SMR,
SOM,50.37829
SRB,0.79616
SSD,61.20307
STP,4.93177
SUR,0.52519
SVK,
SVN,
SWE,
SWZ,17.74863
SYC,2.99389
SYR,13.11619
TCD,59.52823
TGO,36.66293
THA,25.6495
TJK,25.17915
TKM,9.63289
TLS,15.37607
TON,4.83406
TTO,0.05118
TUN,2.18075
TUR,28.05414
TUV,0.66608
TWN,
TZA,258.72775
UGA,256.43573
UKR,64.9341
URY,-0.41607
USA,
UZB,55.04804
VCT,0.02679
VEN,0.07761
VNM,71.01815
VUT,
WSM,1.44834
XKX,
YEM,66.01155
ZAF,84.24629
ZMB,177.78553
ZWE,78.71576
VAT,
