ID,Value
AFG,
AGO,
ALB,
AND,
ARE,71.54
ARG,
ARM,
ATG,
AUS,90.51
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,76.51
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,92.80747
CHE,
CHL,77.79729
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,93.33
CZE,95.71
DEU,
DJI,
DMA,
DNK,96.03
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,93.33
EST,
ETH,
FIN,97.89
FJI,
FRA,86.83
FSM,
GAB,
GBR,
GEO,79.97
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,51.45
IND,
IRL,96.98
IRN,68.27
IRQ,
ISL,
ISR,
ITA,91.48
JAM,
JOR,53.27
JPN,99.66
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,99.58
KWT,34.48
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,40.58
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,98.83
NOR,98.42
NPL,
NRU,
NZL,85.39
OMN,65.72
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,96.9
PRK,
PRT,96.96
PRY,
PSE,
QAT,65.87
ROU,
RUS,
RWA,
SAU,53.58
SDN,
SEN,
SGP,98.84
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,96.05
SWE,94.7
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,94.74
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,41.63
ZMB,
ZWE,
VAT,
