ID,Value
AFG,
AGO,
ALB,
AND,
ARE,68.1
ARG,
ARM,
ATG,
AUS,90.62
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,68.44
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,92.43
CHE,
CHL,78.7
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,92.6
CZE,96.3
DEU,
DJI,
DMA,
DNK,96.13
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,93.65
EST,
ETH,
FIN,96.44
FJI,
FRA,88.02
FSM,
GAB,
GBR,
GEO,76.93
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,45.85
IND,
IRL,96.95
IRN,62.13
IRQ,
ISL,
ISR,
ITA,93.7
JAM,
JOR,47.15
JPN,99.31
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,99.73
KWT,31.4
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,40.55
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,98.79
NOR,97.55
NPL,
NRU,
NZL,83.6
OMN,56.04
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,95.45
PRK,
PRT,97.37
PRY,
PSE,
QAT,62.79
ROU,
RUS,
RWA,
SAU,33.4
SDN,
SEN,
SGP,98.51
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,94.34
SWE,94.44
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,94.75
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,35.9
ZMB,
ZWE,
VAT,
