ID,Value
AFG,
AGO,
ALB,
AND,
ARE,11.30840015
ARG,19.24570084
ARM,36.58560181
ATG,
AUS,
AUT,6.539999962
AZE,
BDI,6.190000057
BEL,9.319999695
BEN,
BFA,
BGD,27.38629913
BGR,15.31000042
BHR,
BHS,
BIH,24.28000069
BLR,
BLZ,27.34009933
BOL,11.63539982
BRA,24.33279991
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,12.58160019
CHE,6.510000229
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,21.77779961
COM,
CPV,0.02999999933
CRI,20.10210037
CUB,
CYP,16.09000015
CZE,6.289999962
DEU,6.260000229
DJI,
DMA,
DNK,6.960000038
DOM,24.33550072
DZA,20.95000076
ECU,17.55960083
EGY,26.87450027
ERI,
ESP,13.31999969
EST,9.430000305
ETH,
FIN,9.399999619
FJI,
FRA,11.46000004
FSM,
GAB,
GBR,10.31999969
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,15.28999996
GRD,
GTM,
GUY,35.19940186
HND,27.71929932
HRV,15.35000038
HTI,
HUN,11.03999996
IDN,21.44869995
IND,
IRL,10.93000031
IRN,
IRQ,
ISL,3.869999886
ISR,14.85000038
ITA,19.98999977
JAM,
JOR,
JPN,3.269999981
KAZ,
KEN,
KGZ,21.02000046
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,42.07519913
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,9.149999619
LUX,5.909999847
LVA,10.26000023
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,18.7317009
MHL,
MKD,24.86000061
MLI,
MLT,9.079999924
MMR,17.39209938
MNE,16.69000053
MNG,19.82159996
MOZ,
MRT,
MUS,19.93880081
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,4
NOR,4.590000153
NPL,
NRU,
NZL,11.75
OMN,
PAK,
PAN,17.19849968
PER,17.67720032
PHL,21.69860077
PLW,
PNG,
POL,9.479999542
PRK,
PRT,9.340000153
PRY,18.06069946
PSE,33.23849869
QAT,2.25
ROU,15.14999962
RUS,
RWA,30.7928009
SAU,
SDN,
SEN,
SGP,4.289999962
SLB,
SLE,
SLV,28.39780045
SMR,
SOM,
SRB,17.58250046
SSD,
STP,
SUR,
SVK,12.10000038
SVN,6.519999981
SWE,6.150000095
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,24.18000031
TUV,
TWN,
TZA,
UGA,33.47000122
UKR,16.46999931
URY,17.86759949
USA,13.83790016
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,31.15430069
ZMB,
ZWE,
VAT,
