ID,Value
AFG,31.29
AGO,45.76
ALB,49.99
AND,61.7
ARE,38.21
ARG,50.89
ARM,29.58
ATG,44.34
AUS,27.79
AUT,20.8
AZE,18.12
BDI,52.3
BEL,26.53
BEN,
BFA,46.64
BGD,75.84
BGR,8.6
BHR,
BHS,38.42
BIH,13.57
BLR,14.3
BLZ,54.88
BOL,66.76
BRA,39.57
BRB,
BRN,6.9
BTN,
BWA,23.98
CAF,
CAN,36.36
CHE,42.59
CHL,26.97
CHN,
CIV,
CMR,59
COD,
COG,
COL,33.53
COM,
CPV,
CRI,19.61
CUB,
CYP,19.56
CZE,9.76
DEU,21.71
DJI,
DMA,22.83
DNK,28.63
DOM,52.89
DZA,7.68
ECU,39.6
EGY,
ERI,
ESP,13.04
EST,24.11
ETH,
FIN,19.21
FJI,23.13
FRA,27.02
FSM,
GAB,
GBR,
GEO,13.35
GHA,12.79
GIN,
GMB,
GNB,
GNQ,
GRC,25.28
GRD,17.73
GTM,50.11
GUY,37.69
HND,54.73
HRV,22.63
HTI,72.79
HUN,22.72
IDN,36.05
IND,67.31
IRL,14.86
IRN,
IRQ,
ISL,16.55
ISR,25.23
ITA,18.22
JAM,22.35
JOR,41.52
JPN,11.32
KAZ,14.56
KEN,39.89
KGZ,18.92
KHM,49.29
KIR,5.29
KNA,24.19
KOR,35.55
KWT,7.14
LAO,
LBN,55.57
LBR,
LBY,90.01
LCA,48.49
LIE,46.07
LKA,51.85
LSO,19.49
LTU,9.57
LUX,47.08
LVA,31.22
MAR,41.91
MCO,33.85
MDA,21.22
MDG,53.2
MDV,
MEX,45.12
MHL,
MKD,10.7
MLI,
MLT,22.95
MMR,
MNE,25.11
MNG,16.02
MOZ,32.31
MRT,
MUS,38.79
MWI,16.13
MYS,26.48
NAM,
NER,
NGA,66.29
NIC,
NIU,
NLD,24.68
NOR,24.74
NPL,
NRU,
NZL,13.58
OMN,
PAK,69.34
PAN,61.47
PER,48.46
PHL,60.02
PLW,
PNG,38.99
POL,7.29
PRK,
PRT,15.89
PRY,74.99
PSE,
QAT,
ROU,5.43
RUS,18.08
RWA,
SAU,
SDN,
SEN,48.56
SGP,10.59
SLB,60.04
SLE,53.42
SLV,23.88
SMR,
SOM,
SRB,15.67
SSD,
STP,2.25
SUR,
SVK,13.71
SVN,8.54
SWE,25.15
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,19.9
TJK,
TKM,
TLS,24.78
TON,7.39
TTO,66.03
TUN,
TUR,14.33
TUV,
TWN,
TZA,50.15
UGA,54.19
UKR,26.82
URY,67.5
USA,21.53
UZB,
VCT,23.3
VEN,62.43
VNM,
VUT,10
WSM,
XKX,
YEM,
ZAF,28.28
ZMB,34.65
ZWE,17.74
VAT,
