ID,Value
AFG,62.7
AGO,55.5
ALB,
AND,
ARE,
ARG,16.7
ARM,14.4
ATG,
AUS,
AUT,
AZE,
BDI,57.9
BEL,
BEN,61.5
BFA,65.8
BGD,55.1
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,10.8
BOL,43.5
BRA,22.3
BRB,
BRN,
BTN,
BWA,
CAF,93.3
CAN,
CHE,
CHL,
CHN,25.2
CIV,56
CMR,37.8
COD,74.8
COG,46.9
COL,13.1
COM,69.6
CPV,
CRI,5.5
CUB,
CYP,
CZE,
DEU,
DJI,65.6
DMA,
DNK,
DOM,12.1
DZA,
ECU,36
EGY,10.6
ERI,
ESP,
EST,
ETH,73.9
FIN,
FJI,
FRA,
FSM,
GAB,37
GBR,
GEO,
GHA,37.9
GIN,43.3
GMB,34.8
GNB,82.3
GNQ,66.2
GRC,
GRD,
GTM,34.5
GUY,33.1
HND,27.5
HRV,
HTI,74.4
HUN,
IDN,21.8
IND,24
IRL,
IRN,
IRQ,47.2
ISL,
ISR,
ITA,
JAM,
JOR,12.9
JPN,
KAZ,
KEN,56
KGZ,
KHM,55.1
KIR,
KNA,
KOR,
KWT,
LAO,31.4
LBN,
LBR,65.7
LBY,
LCA,
LIE,
LKA,
LSO,50.8
LTU,
LUX,
LVA,
MAR,13.1
MCO,
MDA,
MDG,77.2
MDV,
MEX,11.1
MHL,
MKD,
MLI,56.3
MLT,
MMR,41
MNE,
MNG,42.7
MOZ,80.3
MRT,79.9
MUS,
MWI,66.7
MYS,
NAM,33.2
NER,70.1
NGA,50.2
NIC,
NIU,
NLD,
NOR,
NPL,54.3
NRU,
NZL,
OMN,
PAK,45.5
PAN,25.8
PER,34.2
PHL,38.3
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,53.2
SAU,
SDN,91.6
SEN,39.4
SGP,
SLB,
SLE,75.6
SLV,
SMR,
SOM,73.6
SRB,
SSD,95.6
STP,86.6
SUR,7.3
SVK,
SVN,
SWE,
SWZ,32.7
SYC,
SYR,19.3
TCD,88.2
TGO,51.2
THA,25
TJK,
TKM,
TLS,
TON,
TTO,
TUN,8
TUR,11.9
TUV,
TWN,
TZA,50.7
UGA,53.6
UKR,
URY,
USA,
UZB,
VCT,
VEN,
VNM,27.2
VUT,
WSM,
XKX,
YEM,60.8
ZAF,23
ZMB,54
ZWE,25.1
VAT,
