ID,Value
AFG,-0.21
AGO,
ALB,
AND,
ARE,
ARG,0.47
ARM,-0.55
ATG,
AUS,
AUT,
AZE,-1.17
BDI,
BEL,
BEN,
BFA,
BGD,-0.78
BGR,
BHR,
BHS,
BIH,
BLR,-0.47
BLZ,
BOL,0.7
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,-1
CHN,-0.49
CIV,
CMR,0.23
COD,-0.92
COG,
COL,1.25
COM,
CPV,-0.2
CRI,0.13
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,
EST,
ETH,-1.39
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,-0.09
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,-1.01
IND,1.17
IRL,
IRN,
IRQ,
ISL,
ISR,0.13
ITA,-0.37
JAM,
JOR,
JPN,
KAZ,-1.67
KEN,
KGZ,-0.6
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,0.06
LSO,
LTU,
LUX,
LVA,
MAR,2.3
MCO,
MDA,0.41
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,0.08
MOZ,
MRT,0.48
MUS,
MWI,
MYS,
NAM,0.55
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,-0.31
PAN,
PER,
PHL,-0.45
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,-0.21
RWA,
SAU,0.12
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,-0.47
SMR,
SOM,
SRB,
SSD,-1.1
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,-0.38
SYC,
SYR,
TCD,
TGO,
THA,0.12
TJK,-0.9
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,-0.27
URY,-0.75
USA,
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,-0.21
ZMB,
ZWE,1.2
VAT,
