ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,3.508264237
ATG,
AUS,78.29382452
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,9.706101208
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,
CHN,14.99209152
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,
EST,13.33909099
ETH,4.961822391
FIN,37.72873941
FJI,35.70952048
FRA,90.65695081
FSM,
GAB,96.62862824
GBR,313.4990133
GEO,6.236399016
GHA,18.69258787
GIN,9.459578497
GMB,7.215507953
GNB,3.774279797
GNQ,193.6282839
GRC,34.61488939
GRD,59.83817905
GTM,10.95363219
GUY,1.573165579
HND,7.328810279
HRV,91.48307209
HTI,4.832977062
HUN,25.91776245
IDN,4.00188541
IND,2.558481966
IRL,288.0096105
IRN,4.167234528
IRQ,1.539583645
ISL,54.94397637
ISR,129.3059546
ITA,41.13530288
JAM,17.39670161
JOR,27.36087942
JPN,67.35751528
KAZ,7.409777189
KEN,12.43010825
KGZ,0.5163014109
KHM,4.12771185
KIR,
KNA,63.03629679
KOR,30.80951828
KWT,183.5055306
LAO,1.38796337
LBN,24.26803816
LBR,13.37799485
LBY,10.98541652
LCA,30.87077492
LIE,
LKA,3.214929278
LSO,37.17737083
LTU,62.84125016
LUX,1307.615973
LVA,114.1182083
MAR,9.006448953
MCO,1050.940397
MDA,5.028174315
MDG,0.5877683162
MDV,553.3812208
MEX,14.27872856
MHL,
MKD,15.71178503
MLI,1.720946941
MLT,424.84035
MMR,0.481033328
MNE,25.72524582
MNG,12.26723222
MOZ,9.713293579
MRT,2.512310915
MUS,9.882690748
MWI,3.586448002
MYS,18.29137292
NAM,27.0789898
NER,4.518498438
NGA,29.13872383
NIC,6.027104827
NIU,
NLD,78.48099866
NOR,142.5775892
NPL,1.401584023
NRU,
NZL,28.18377842
OMN,35.96247508
PAK,0.9253055662
PAN,28.38986268
PER,9.93403549
PHL,2.27363512
PLW,
PNG,27.26992999
POL,44.58552986
PRK,
PRT,26.30244941
PRY,11.69482647
PSE,20.54304977
QAT,245.8634606
ROU,27.9162832
RUS,27.76910356
RWA,17.49807667
SAU,20.95729003
SDN,2.389253912
SEN,5.173436657
SGP,
SLB,
SLE,9.415299691
SLV,8.026060532
SMR,
SOM,
SRB,9.789331896
SSD,
STP,
SUR,5.981135718
SVK,174.4231465
SVN,40.22737002
SWE,181.6205614
SWZ,3.008408432
SYC,61.6560042
SYR,
TCD,9.558800631
TGO,15.0729496
THA,5.479917218
TJK,0.391809799
TKM,0.4376869199
TLS,1.649870096
TON,
TTO,65.71098292
TUN,13.43064799
TUR,17.79404929
TUV,
TWN,
TZA,3.618130879
UGA,28.08830751
UKR,9.159135078
URY,8.164872594
USA,35.7400812
UZB,0.5306152628
VCT,88.65249582
VEN,17.31509049
VNM,1.042655791
VUT,
WSM,
XKX,
YEM,7.062761995
ZAF,26.20032215
ZMB,6.918800364
ZWE,3.056017424
VAT,
