ID,Value
AFG,
AGO,9.38
ALB,1.06
AND,
ARE,2.82
ARG,7.53
ARM,2.13
ATG,11.88
AUS,1.18
AUT,1.96
AZE,
BDI,
BEL,1.96
BEN,11.57
BFA,
BGD,10.72
BGR,1.96
BHR,3.13
BHS,18.56
BIH,1.23
BLR,1.82
BLZ,10.52
BOL,4.75
BRA,8.01
BRB,
BRN,0.5
BTN,
BWA,0.59
CAF,14.51
CAN,1.56
CHE,1.31
CHL,5.89
CHN,3.54
CIV,8.16
CMR,
COD,
COG,
COL,6.98
COM,
CPV,
CRI,1.78
CUB,8.02
CYP,1.96
CZE,1.96
DEU,1.96
DJI,
DMA,8.41
DNK,1.96
DOM,4.6
DZA,8.85
ECU,6.81
EGY,6.63
ERI,
ESP,1.96
EST,1.96
ETH,
FIN,1.96
FJI,
FRA,1.96
FSM,
GAB,16.93
GBR,1.96
GEO,0.67
GHA,10.79
GIN,
GMB,
GNB,
GNQ,
GRC,1.96
GRD,12.41
GTM,
GUY,6.58
HND,
HRV,1.96
HTI,6.52
HUN,1.96
IDN,2.64
IND,6.35
IRL,1.96
IRN,
IRQ,
ISL,1.47
ISR,2.81
ITA,1.96
JAM,10.84
JOR,4.32
JPN,2.55
KAZ,2.55
KEN,12.25
KGZ,3.16
KHM,9.77
KIR,
KNA,12.3
KOR,8.67
KWT,2.96
LAO,1.65
LBN,2.98
LBR,
LBY,
LCA,5.89
LIE,
LKA,
LSO,2.01
LTU,1.96
LUX,1.96
LVA,1.96
MAR,3.78
MCO,
MDA,3.54
MDG,7.86
MDV,11.16
MEX,4.35
MHL,
MKD,3.96
MLI,7.62
MLT,1.96
MMR,
MNE,
MNG,
MOZ,3.55
MRT,
MUS,0.79
MWI,4.77
MYS,4.02
NAM,1.03
NER,9.62
NGA,11.25
NIC,1.97
NIU,
NLD,1.96
NOR,3.41
NPL,12.35
NRU,11.69
NZL,1.27
OMN,1.46
PAK,10.09
PAN,
PER,
PHL,3.4
PLW,7.8
PNG,
POL,1.96
PRK,
PRT,1.96
PRY,4.21
PSE,
QAT,3.37
ROU,1.96
RUS,3.62
RWA,7.33
SAU,
SDN,
SEN,9.01
SGP,0.07
SLB,14.08
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,10.44
SUR,
SVK,1.96
SVN,1.96
SWE,1.96
SWZ,1.18
SYC,4.32
SYR,
TCD,16.36
TGO,10.35
THA,
TJK,5.7
TKM,
TLS,2.5
TON,5.74
TTO,
TUN,9.35
TUR,2.74
TUV,
TWN,
TZA,8.62
UGA,7.33
UKR,2.46
URY,5.7
USA,1.67
UZB,
VCT,9.19
VEN,10.04
VNM,2.86
VUT,7.85
WSM,10.58
XKX,
YEM,4.35
ZAF,4.51
ZMB,6.22
ZWE,4.99
VAT,
