ID,Name,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
BEN-ADM1-3_0_0-B1,Alibori,19.9754395,26.0128177,32.2418723,38.1824571,43.6263431,48.0890662,51.5724733,54.0016943,55.197977,55.41306255
BEN-ADM1-3_0_0-B2,Borgou,27.7109679,36.767929,46.1173473,54.9742987,63.0347338,69.6104334,74.7537279,78.3390812,80.1126021,80.43922929
BEN-ADM1-3_0_0-B3,Atakora,28.9607135,38.0325583,47.3252321,56.0852308,63.9883868,70.3691615,75.2976261,78.6392638,80.1776893,80.28631676
BEN-ADM1-3_0_0-B4,Donga,35.5703381,47.0598596,58.8538325,69.9770503,80.0498589,88.2117342,94.5682941,98.9561885,101.045537,101.3468228
BEN-ADM1-3_0_0-B5,Collines,36.256351,48.2097739,60.5059465,72.151673,82.73427,91.3421578,98.0540596,102.707546,104.980033,105.339108
BEN-ADM1-3_0_0-B6,Plateau,144.158184,190.932793,239.453114,285.920849,328.564942,363.614239,391.376298,411.094855,421.427075,424.2524089
BEN-ADM1-3_0_0-B7,Zou,143.148078,189.02436,236.248537,280.979047,321.62016,354.815862,380.813698,398.951538,407.929187,409.6013654
BEN-ADM1-3_0_0-B8,Kouffo,234.965796,310.724897,388.388688,461.593096,527.663895,581.178213,622.635794,651.064203,664.45716,665.9343227
BEN-ADM1-3_0_0-B9,Atlantique,254.948434,333.695764,414.427096,490.631412,559.709166,615.943447,659.787664,690.177568,704.959145,707.3321653
BEN-ADM1-3_0_0-B10,Littoral,8720.49024,10422.9404,12207.928,13962.1857,15627.6669,17086.4566,18319.5476,19288.5701,19932.8924,20297.09316
BEN-ADM1-3_0_0-B11,Mono,291.314569,379.187949,468.644754,552.549149,627.847127,688.646863,735.347748,766.979879,781.60728,782.7708586
BEN-ADM1-3_0_0-B12,Ouémé,697.19935,891.313698,1091.47014,1282.55661,1457.96036,1603.17028,1718.86996,1802.09827,1847.37972,1862.060837
