ID,Name,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
BWA-ADM1-3_0_0-B1,South-East District,127.501834,142.82852,155.305132,166.101186,175.948295,184.981237,190.67371,191.495886,187.888931,180.2358902
BWA-ADM1-3_0_0-B2,Kgatleng District,8.98970124,10.057904,10.8982472,11.6175356,12.2606747,12.8592352,13.2160237,13.2149163,12.9274178,12.3378673
BWA-ADM1-3_0_0-B3,North-East District,22.482597,25.0873598,27.1606175,28.9182054,30.5265366,31.9910536,32.8631793,32.8968811,32.1397296,30.74515988
BWA-ADM1-3_0_0-B4,Central District,3.68080258,4.10085233,4.44460566,4.72824339,4.98392681,5.2298343,5.37834358,5.38088535,5.25268478,5.014321198
BWA-ADM1-3_0_0-B5,Ghanzi District,0.21756431,0.21937906,0.22838818,0.25048946,0.25178218,0.25238874,0.27447638,0.27436473,0.25908959,0.236383496
BWA-ADM1-3_0_0-B6,Kweneng District,6.32373694,7.06951203,7.6785075,8.17285357,8.6534863,9.07913288,9.34838548,9.36715655,9.1347711,8.737415946
BWA-ADM1-3_0_0-B7,Southern District,7.06589095,7.89683056,8.55652287,9.09552493,9.61282994,10.0755618,10.3483135,10.3410843,10.1013644,9.648272099
BWA-ADM1-3_0_0-B8,Kgalagadi District,0.3605981,0.40345464,0.44530024,0.45923086,0.48906674,0.51385834,0.53083015,0.53038169,0.51301689,0.498965078
BWA-ADM1-3_0_0-B9,North-West District,1.00552593,1.10755539,1.19201799,1.27360723,1.33587558,1.38446313,1.43287269,1.42929966,1.39607129,1.321790109
BWA-ADM1-3_0_0-B10,Chobe District,0.6678649,0.71885242,0.76583746,0.77687209,0.81638459,0.82216393,0.83987403,0.82148784,0.79922648,0.757513349
