ID,Name,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
EST-ADM1-3_0_0-B1,Saare maakond,4.714964353,4.44038531,4.139409964,3.8786913,3.683473923,3.485046111,3.284657078,3.102903175,2.928013919,2.764221499
EST-ADM1-3_0_0-B2,Pärnu maakond,8.051728803,7.872421526,7.635192981,7.430381241,7.295873882,7.139474822,6.950976348,6.768698889,6.578886894,6.384609867
EST-ADM1-3_0_0-B3,Hiiu maakond,3.608023752,3.276173899,2.940559414,2.646169223,2.41309018,2.191753925,1.98015822,1.786064094,1.617019647,1.461986507
EST-ADM1-3_0_0-B4,Lääne maakond,4.692528183,4.522057745,4.319905572,4.142124952,4.019208534,3.884221997,3.736776944,3.593906802,3.458216047,3.324170041
EST-ADM1-3_0_0-B5,Ida-Viru maakond,24.09819874,24.16073123,24.00769031,23.87388355,23.88198113,23.76622222,23.5180492,23.21314465,22.84189839,22.41839124
EST-ADM1-3_0_0-B6,Harju maakond,52.93460922,53.04340469,52.68142923,52.36909676,52.3664295,52.11005556,51.55072782,50.88225924,50.06394511,49.12899714
EST-ADM1-3_0_0-B7,Lääne-Viru maakond,7.768946149,7.486575403,7.146919191,6.850490186,6.642878345,6.416226282,6.16834162,5.929847318,5.701499717,5.482696787
EST-ADM1-3_0_0-B8,Tartu maakond,23.03685098,23.14627642,23.03083495,22.92620918,22.96207205,22.87154924,22.63565344,22.34892005,21.99392421,21.58999396
EST-ADM1-3_0_0-B9,Valga maakond,7.366185787,7.069973649,6.736149054,6.440016985,6.220279807,5.980850379,5.714611508,5.459616482,5.212934844,4.983998892
EST-ADM1-3_0_0-B10,Viljandi maakond,7.094330516,6.830569192,6.518889838,6.249317274,6.056641164,5.850575859,5.624510868,5.409770917,5.199723177,5.000524185
EST-ADM1-3_0_0-B11,Põlva maakond,6.155610166,5.829737738,5.464257953,5.146592635,4.909819404,4.666641586,4.416442803,4.183519387,3.966421463,3.762458923
EST-ADM1-3_0_0-B12,Järva maakond,6.409402856,6.250644098,6.038596172,5.855450239,5.732706181,5.592477858,5.425061783,5.263336062,5.096383647,4.934024554
EST-ADM1-3_0_0-B13,Rapla maakond,4.885797067,4.467517151,4.026718716,3.641284464,3.344125336,3.053414784,2.769274411,2.512731271,2.280153396,2.076760437
EST-ADM1-3_0_0-B14,Võru maakond,7.45226611,7.203655449,6.903654725,6.645691985,6.465589714,6.266317646,6.046479553,5.835891385,5.627505055,5.427272623
EST-ADM1-3_0_0-B15,Jõgeva maakond,6.030371185,5.774392116,5.472945535,5.210271612,5.023010703,4.823777834,4.611008956,4.409418828,4.218332171,4.037270164
