ID,Name,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
HTI-ADM1-3_0_0-B1,Département de l'Ouest,624.4028918,697.2434259,756.3758592,799.1505361,824.9807062,832.2258083,825.2684158,807.0193328,781.4736957,755.6314839
HTI-ADM1-3_0_0-B2,Département de la Grande-Anse,177.5511655,193.1703034,204.4217532,211.0228132,213.0591699,210.1344037,203.7799986,195.5326077,186.4743495,178.0687979
HTI-ADM1-3_0_0-B3,Département des Nippes,219.8552701,240.6721092,255.8933096,265.0958178,268.3707368,265.2045143,257.5427496,247.3937034,236.1393748,225.6644258
HTI-ADM1-3_0_0-B4,Département du Sud-Est,234.3738627,256.1251047,271.980689,281.5116669,284.8382286,281.4253681,273.3265455,262.5910346,250.6813106,239.5828973
HTI-ADM1-3_0_0-B5,Nord-Ouest Department,209.1934441,230.8851171,247.1720708,257.4647828,261.7439462,259.4563596,252.5016198,242.9414237,232.2045423,222.1464816
HTI-ADM1-3_0_0-B6,Département du Nord,379.3276654,419.9015946,451.3298679,472.4208459,483.0884191,482.3906306,473.4102719,458.8706505,441.2209284,424.1997492
HTI-ADM1-3_0_0-B7,Nord-Est Department,175.633184,195.2084744,210.1769271,219.9101414,224.36229,223.0153978,217.5279355,209.6799356,200.7220773,192.2489452
HTI-ADM1-3_0_0-B8,Centre Department,158.8387006,175.8274385,188.6880549,196.9217533,200.5140229,199.0332903,193.944552,186.8087579,178.7168037,171.0864919
HTI-ADM1-3_0_0-B9,Artibonite Department,224.8582427,248.5948532,266.517197,277.9613206,282.9131548,280.7659587,273.5669394,263.4806875,252.0418091,241.2921444
HTI-ADM1-3_0_0-B10,Sud Department,240.4718918,263.3492473,280.2744406,290.7059368,294.6887725,291.6196363,283.5949353,272.7399054,260.5905802,249.2339526
