Name ,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Panjwayi,18.4699565,24.81154172,32.60259996,41.03834015,49.30171259,56.96168897,63.68993053,69.35122473,73.87453121,77.02593158
Arghandab,48.45099939,63.38598651,81.53596879,101.168761,120.3757021,138.2151492,153.9005153,167.2133129,177.8506689,185.3103991
Rashidan,47.27166675,60.11618541,75.38716947,91.55173216,107.0222876,121.0751243,133.1649935,143.0261233,150.4299148,155.0652243
Khwajaumari,83.6353533,112.4150976,147.5590125,185.6481253,222.8579239,257.2722891,287.3464803,312.7199027,332.8581674,346.781917
Giro,36.3915602,48.95626831,64.30193176,80.94867601,97.22334247,112.2910033,125.4619466,136.5772702,145.4140532,151.5391173
Janikhel,36.93058484,49.18013656,64.05587973,80.09468659,95.69556757,110.0896377,122.6239501,133.1418628,141.4190921,147.0575547
Gyan,140.2808216,187.3197695,244.398623,305.9210586,365.7174935,420.7753955,468.668252,508.8230766,540.3916841,561.9109014
Sarobi,32.01722703,43.10163347,56.65659986,71.36650323,85.74273007,99.06823192,110.7220114,120.5724341,128.4086302,133.8373888
Urgun,88.72618375,118.5399863,154.7959247,193.9473583,232.0754687,267.245903,297.892589,323.6382347,343.9452931,357.8506591
Tani,85.4406501,112.8532778,145.6269645,180.5486003,214.2815855,245.0485353,271.5671625,293.5884776,310.6991017,322.1223569
Khost (Matun),169.8557439,225.6271807,293.3869138,366.686438,438.3846074,504.7361837,562.8067765,611.9435045,651.1170985,678.421162
Bak,57.26367124,76.22335211,98.99154438,123.3839325,147.0898249,168.7949206,187.5782221,203.2934905,215.6512701,224.0516338
Sabari,89.76634743,119.1120074,154.6157126,192.7747488,229.7670078,263.7702016,293.3106898,317.9826163,337.2911896,350.3300502
Dand Wa Patan,88.27597463,113.5879644,142.6209181,172.5313279,200.8393599,225.8729677,246.7882438,263.5967372,276.0346476,283.6431809
Shawak,68.64931283,87.61752394,109.9106565,133.255932,155.3730349,175.3117439,192.3071613,206.0269681,216.1806019,222.3795666
Zurmat,68.50546127,91.26149949,118.8843378,148.6865755,177.6710686,204.3890818,227.6610232,247.1723225,262.5337969,273.0149811
Naka,68.72894184,86.94738563,108.4059044,130.9488751,152.3637168,171.7122787,188.26299,201.6198875,211.4977229,217.5028161
Azra,24.12698813,28.53516973,33.50261229,38.49116634,43.05031094,47.02996029,50.31959329,52.74837508,54.23156564,54.75630492
Alikhel (Jaji),76.59369505,93.98994901,114.0639856,134.7376546,154.0452818,171.2349772,185.7160083,197.0238768,204.8771856,209.0454689
Khoshi,59.32527015,76.58568745,97.34114194,119.5432071,140.9872828,160.6419637,177.6683292,191.7561564,202.5855139,209.6703809
Ahmadaba,89.88547654,115.8570799,146.8497302,179.7777854,211.4020917,240.2464434,265.1264984,285.584536,301.162189,311.199115
Charkh,88.94305835,115.9986751,148.297268,182.6041208,215.5244417,245.5162946,271.3522453,292.6188592,308.8865941,319.4574302
Saydabad,75.02127956,99.08927502,128.1130637,159.2189104,189.3024502,216.8942702,240.8151932,260.7283501,276.227936,286.60438
Sherzad,84.4958458,103.9299405,126.8604214,150.9740188,173.860455,194.4747129,212.0447339,226.1032068,236.3123656,242.2847464
Hesarak,32.54704833,41.1880343,51.37240164,62.07010502,72.23050664,81.40924589,89.25913667,95.59589715,100.2817769,103.1429308
Khogyani,177.9472196,226.4810404,284.6097514,346.6051031,406.2757279,460.7533275,507.7888649,546.4416165,575.8279293,594.6705266
Behsud,533.9050858,669.8015766,835.2745223,1015.996294,1195.817804,1366.468014,1520.629874,1655.42045,1767.222685,1850.515387
Chaparhar,232.7921188,313.4908707,412.1814433,519.3233432,624.1124999,721.1587193,806.0235901,877.7242588,934.7532605,974.3381386
Shinwar,225.9500596,303.4205811,398.1541133,500.9913641,601.6122814,694.8507596,776.4642123,845.484802,900.4494845,938.6838309
Durbaba,84.51930116,109.1800082,138.0742366,168.3801738,197.2518947,223.1618962,245.1426305,263.0782643,276.6397146,285.2762511
Paghman,315.8824212,386.3453097,469.1340798,556.2932829,639.8786977,716.4782081,783.2573986,838.332495,880.2206697,907.2829924
Chaharasyab,591.2222651,781.9421764,1012.072705,1258.852925,1497.591786,1716.578355,1906.39095,2064.462306,2187.5743,2270.114346
