ISO ATA | ADM0 was not in the last release, so cannot be compared for changes.
ISO ARG | ADM1 File already exists, skipping download.
ISO ALB | ADM1 File already exists, skipping download.
ISO AGO | ADM2 File already exists, skipping download.
ISO AUT | ADM2 File already exists, skipping download.
ISO DZA | ADM3 File already exists, skipping download.
ISO AUT | ADM0 File already exists, skipping download.
ISO AGO | ADM0 File already exists, skipping download.
ISO ALB | ADM2 File already exists, skipping download.
ISO AZE | ADM0 File already exists, skipping download.
ISO AFG | ADM2 File already exists, skipping download.
ISO AND | ADM0 File already exists, skipping download.
ISO ARG | ADM0 File already exists, skipping download.
ISO AUS | ADM2 File already exists, skipping download.
ISO AFG | ADM1 File already exists, skipping download.
ISO ARM | ADM0 File already exists, skipping download.
ISO AZE | ADM1 File already exists, skipping download.
ISO BHS | ADM0 File already exists, skipping download.
ISO ALB | ADM0 File already exists, skipping download.
ISO DZA | ADM0 File already exists, skipping download.
ISO ATG | ADM1 File already exists, skipping download.
ISO AND | ADM1 File already exists, skipping download.
ISO ARM | ADM2 File already exists, skipping download.
ISO AUS | ADM0 File already exists, skipping download.
ISO AGO | ADM1 File already exists, skipping download.
ISO AUT | ADM3 File already exists, skipping download.
ISO BLR | ADM2 File already exists, skipping download.
ISO AFG | ADM0 File already exists, skipping download.
ISO AUS | ADM1 File already exists, skipping download.
ISO ALB | ADM3 File already exists, skipping download.
