NEW OR REMOVED: 
              0
QAT_ADM0.zip  1
ATA_ADM0.zip  1
QAT_ADM0      1
QAT_ADM2.zip  1
VAT_ADM0.zip  1
ISO ARG | ADM1 Metadata changed, but the file did not.
ISO ALB | ADM1 Metadata changed, but the file did not.
ISO AGO | ADM2 Metadata changed, but the file did not.
ISO AGO | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/AGO/ADM2/AGO_ADM2.shp
ISO AUT | ADM2 Metadata changed, but the file did not.
ISO AUT | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/AUT/ADM2/AUT_ADM2.shp
ISO DZA | ADM3 Metadata changed, but the file did not.
ISO AUT | ADM0 Metadata changed, but the file did not.
ISO AGO | ADM0 Metadata changed, but the file did not.
ISO ALB | ADM2 Metadata changed, but the file did not.
ISO ALB | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/ALB/ADM2/ALB_ADM2.shp
ISO AZE | ADM0 Metadata changed, but the file did not.
ISO DZA | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/DZA/ADM3/DZA_ADM3.shp
ISO AFG | ADM2 Metadata changed, but the file did not.
ISO AND | ADM0 Metadata changed, but the file did not.
ISO ARG | ADM0 Metadata changed, but the file did not.
ISO AUS | ADM2 Metadata changed, but the file did not.
ISO AFG | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/AFG/ADM2/AFG_ADM2.shp
ISO AFG | ADM1 Metadata changed, but the file did not.
ISO ARM | ADM0 Metadata changed, but the file did not.
ISO AZE | ADM1 Metadata changed, but the file did not.
ISO BHS | ADM0 Metadata changed, but the file did not.
ISO ALB | ADM0 Metadata changed, but the file did not.
ISO DZA | ADM0 Metadata changed, but the file did not.
ISO ATG | ADM1 Metadata changed, but the file did not.
ISO AND | ADM1 Metadata changed, but the file did not.
ISO ARM | ADM2 Metadata changed, but the file did not.
ISO ARM | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO AUS | ADM0 Metadata changed, but the file did not.
ISO ARM | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO AGO | ADM1 Metadata changed, but the file did not.
ISO ARM | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/ARM/ADM2/ARM_ADM2.shp
ISO AUT | ADM3 Metadata changed, but the file did not.
ISO BLR | ADM2 Metadata changed, but the file did not.
ISO BLR | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/BLR/ADM2/BLR_ADM2.shp
ISO AFG | ADM0 Metadata changed, but the file did not.
ISO AUS | ADM1 Metadata changed, but the file did not.
ISO ALB | ADM3 Metadata changed, but the file did not.
