NEW OR REMOVED: 
              0
QAT_ADM0.zip  1
QAT_ADM0      1
ISO ATG | ADM1 Metadata changed, but the file did not.
ISO AUS | ADM2 Metadata changed, but the file did not.
ISO AUT | ADM0 Metadata changed, but the file did not.
ISO DZA | ADM0 Metadata changed, but the file did not.
ISO AUS | ADM0 Metadata changed, but the file did not.
ISO AGO | ADM0 Metadata changed, but the file did not.
ISO AND | ADM0 Metadata changed, but the file did not.
ISO AUT | ADM1 Metadata changed, but the file did not.
ISO ALB | ADM1 Metadata changed, but the file did not.
ISO AUT | ADM3 Metadata changed, but the file did not.
ISO AUT | ADM4 Metadata changed, but the file did not.
ISO BHS | ADM0 Metadata changed, but the file did not.
ISO ALB | ADM0 Metadata changed, but the file did not.
ISO BGD | ADM0 Metadata changed, but the file did not.
ISO BHR | ADM0 Metadata changed, but the file did not.
ISO AUT | ADM2 Metadata changed, but the file did not.
ISO ARM | ADM0 Metadata changed, but the file did not.
ISO AGO | ADM1 Metadata changed, but the file did not.
ISO BGD | ADM4 Metadata changed, but the file did not.
ISO ARG | ADM2 Metadata changed, but the file did not.
ISO AFG | ADM1 Metadata changed, but the file did not.
ISO AFG | ADM0 Metadata changed, but the file did not.
ISO BLR | ADM0 Metadata changed, but the file did not.
ISO BRB | ADM1 Metadata changed, but the file did not.
ISO AGO | ADM3 Metadata changed, but the file did not.
ISO DZA | ADM3 Metadata changed, but the file did not.
ISO ALB | ADM3 Metadata changed, but the file did not.
ISO ARG | ADM1 Metadata changed, but the file did not.
ISO ARM | ADM1 Metadata changed, but the file did not.
ISO DZA | ADM1 Metadata changed, but the file did not.
ISO ARM | ADM2 Metadata changed, but the file did not.
ISO AGO | ADM2 Metadata changed, but the file did not.
ISO BEL | ADM1 Metadata changed, but the file did not.
ISO BEN | ADM2 Metadata changed, but the file did not.
ISO BGD | ADM2 Metadata changed, but the file did not.
ISO BLZ | ADM1 Metadata changed, but the file did not.
ISO BHR | ADM1 Metadata changed, but the file did not.
ISO AZE | ADM0 Metadata changed, but the file did not.
ISO BTN | ADM2 Metadata changed, but the file did not.
ISO BGD | ADM3 Metadata changed, but the file did not.
ISO ALB | ADM2 Metadata changed, but the file did not.
ISO ATA | ADM0 Metadata changed, but the file did not.
ISO BOL | ADM3 Metadata changed, but the file did not.
ISO BLZ | ADM0 Metadata changed, but the file did not.
ISO AND | ADM1 Metadata changed, but the file did not.
ISO BHS | ADM1 Metadata changed, but the file did not.
ISO BEL | ADM0 Metadata changed, but the file did not.
ISO BWA | ADM0 Metadata changed, but the file did not.
ISO DZA | ADM2 Metadata changed, but the file did not.
ISO BRN | ADM2 Metadata changed, but the file did not.
ISO BLR | ADM1 Metadata changed, but the file did not.
