ISO AFG | ADM2 does not have a valid license.
ISO AFG | ADM1 does not have a valid license.
ISO AFG | ADM0 does not have a valid license.
ISO AGO | ADM0 does not have a valid license.
ISO AGO | ADM3 does not have a valid license.
ISO AGO | ADM1 does not have a valid license.
ISO AGO | ADM2 does not have a valid license.
ISO ARM | ADM2 does not have a valid license.
ISO ARG | ADM2 does not have a valid license.
ISO BGD | ADM2 does not have a valid license.
ISO BGD | ADM3 does not have a valid license.
ISO BGD | ADM4 does not have a valid license.
ISO BLZ | ADM2 does not have a valid license.
ISO BEN | ADM2 does not have a valid license.
ISO CPV | ADM2 does not have a valid license.
ISO CAF | ADM0 does not have a valid license.
ISO CAF | ADM1 does not have a valid license.
ISO CAF | ADM2 does not have a valid license.
ISO CAF | ADM3 does not have a valid license.
ISO CAF | ADM2 does not have a valid license.
ISO CAF | ADM3 does not have a valid license.
ISO TCD | ADM2 does not have a valid license.
ISO CIV | ADM0 does not have a valid license.
ISO CIV | ADM1 does not have a valid license.
ISO CIV | ADM2 does not have a valid license.
ISO CIV | ADM3 does not have a valid license.
ISO DJI | ADM2 does not have a valid license.
ISO EGY | ADM2 does not have a valid license.
ISO SLV | ADM0 does not have a valid license.
ISO SLV | ADM1 does not have a valid license.
ISO SLV | ADM2 does not have a valid license.
ISO ERI | ADM2 does not have a valid license.
ISO EST | ADM3 does not have a valid license.
ISO GAB | ADM0 does not have a valid license.
ISO GAB | ADM1 does not have a valid license.
ISO GAB | ADM2 does not have a valid license.
ISO GMB | ADM0 does not have a valid license.
ISO GMB | ADM1 does not have a valid license.
ISO GMB | ADM2 does not have a valid license.
ISO GHA | ADM0 does not have a valid license.
ISO GHA | ADM1 does not have a valid license.
ISO GHA | ADM2 does not have a valid license.
ISO GIN | ADM0 does not have a valid license.
ISO GIN | ADM1 does not have a valid license.
ISO GIN | ADM2 does not have a valid license.
ISO GIN | ADM3 does not have a valid license.
ISO GUY | ADM2 does not have a valid license.
ISO IDN | ADM2 does not have a valid license.
ISO IRQ | ADM2 does not have a valid license.
ISO KGZ | ADM2 does not have a valid license.
ISO LSO | ADM2 does not have a valid license.
ISO LBR | ADM0 does not have a valid license.
ISO LBR | ADM1 does not have a valid license.
ISO LBR | ADM2 does not have a valid license.
ISO MDG | ADM2 does not have a valid license.
ISO MDG | ADM3 does not have a valid license.
ISO LKA | ADM4 does not have a valid license.
ISO MWI | ADM3 does not have a valid license.
ISO MRT | ADM0 does not have a valid license.
ISO MRT | ADM1 does not have a valid license.
ISO MRT | ADM2 does not have a valid license.
ISO MOZ | ADM2 does not have a valid license.
ISO MOZ | ADM3 does not have a valid license.
ISO NRU | ADM1 does not have a valid license.
ISO NPL | ADM0 does not have a valid license.
ISO NPL | ADM1 does not have a valid license.
ISO NPL | ADM2 does not have a valid license.
ISO NLD | ADM0 does not have a valid license.
ISO NLD | ADM1 does not have a valid license.
ISO NLD | ADM2 does not have a valid license.
ISO NER | ADM0 does not have a valid license.
ISO NER | ADM1 does not have a valid license.
ISO NER | ADM2 does not have a valid license.
ISO NGA | ADM0 does not have a valid license.
ISO PRK | ADM2 does not have a valid license.
ISO OMN | ADM2 does not have a valid license.
ISO PAK | ADM2 does not have a valid license.
ISO PSE | ADM2 does not have a valid license.
ISO PNG | ADM2 does not have a valid license.
ISO PNG | ADM3 does not have a valid license.
ISO PER | ADM2 does not have a valid license.
ISO PHL | ADM0 does not have a valid license.
ISO PHL | ADM1 does not have a valid license.
ISO PHL | ADM2 does not have a valid license.
ISO PHL | ADM3 does not have a valid license.
ISO MDG | ADM4 does not have a valid license.
ISO SEN | ADM0 does not have a valid license.
ISO SEN | ADM1 does not have a valid license.
ISO SEN | ADM2 does not have a valid license.
ISO SEN | ADM3 does not have a valid license.
ISO SLE | ADM0 does not have a valid license.
ISO SLE | ADM1 does not have a valid license.
ISO SLE | ADM2 does not have a valid license.
ISO SLE | ADM3 does not have a valid license.
ISO SOM | ADM0 does not have a valid license.
ISO SOM | ADM1 does not have a valid license.
ISO SOM | ADM2 does not have a valid license.
ISO KOR | ADM2 does not have a valid license.
ISO KOR | ADM3 does not have a valid license.
ISO SSD | ADM0 does not have a valid license.
ISO SSD | ADM1 does not have a valid license.
ISO SSD | ADM2 does not have a valid license.
ISO ZAF | ADM1: had an invalid projection.
ISO LKA | ADM3 does not have a valid license.
ISO KNA | ADM1 does not have a valid license.
ISO ZAF | ADM0: had an invalid projection.
ISO SDN | ADM2 does not have a valid license.
ISO CHE | ADM2 does not have a valid license.
ISO CHE | ADM3 does not have a valid license.
ISO SYR | ADM0 does not have a valid license.
ISO SYR | ADM1 does not have a valid license.
ISO SOM | ADM2 did not have a local file copy, and the download failed.
ISO SYR | ADM2 does not have a valid license.
ISO SYR | ADM3 does not have a valid license.
ISO ZAF | ADM2: had an invalid projection.
ISO TZA | ADM2 does not have a valid license.
ISO ZAF | ADM3: had an invalid projection.
ISO THA | ADM2 does not have a valid license.
ISO SDN | ADM1: had an invalid projection.
ISO TLS | ADM2 does not have a valid license.
ISO SDN | ADM0: had an invalid projection.
ISO TGO | ADM2 does not have a valid license.
ISO TUR | ADM0 does not have a valid license.
ISO TUR | ADM1 does not have a valid license.
ISO TUR | ADM2 does not have a valid license.
ISO UGA | ADM2 does not have a valid license.
ISO UKR | ADM2 does not have a valid license.
ISO UKR | ADM3 does not have a valid license.
ISO URY | ADM2 does not have a valid license.
ISO ZAF | ADM4: had an invalid projection.
ISO VNM | ADM0 does not have a valid license.
ISO VNM | ADM1 does not have a valid license.
ISO VNM | ADM2 does not have a valid license.
ISO YEM | ADM0 does not have a valid license.
ISO YEM | ADM1 does not have a valid license.
ISO YEM | ADM2 does not have a valid license.
ISO YEM | ADM3 does not have a valid license.
ISO YEM | ADM2 does not have a valid license.
ISO ZMB | ADM0 does not have a valid license.
ISO ZMB | ADM1 does not have a valid license.
ISO ZMB | ADM2 does not have a valid license.
ISO ZWE | ADM0 does not have a valid license.
ISO ZWE | ADM1 does not have a valid license.
ISO ZWE | ADM2 does not have a valid license.
