,Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Unnamed: 11,Link to Source Data.1,Changes,Known Errors,Raw File Name,Recorder (Name),Last Updated Date,Unnamed: 18,Unnamed: 19,Process File Name QA Check,File Name ISO Code,Process File Name Existance Check,Source Check,License Check,License Source Check,Link to Source Data Check
0,AFG_ADM0.zip,Afghanistan,2012.0,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,afg_admbnd_adm1_pol_shp.zip,,0,afg_admbnd_adm1_pol_shp.zip,,,,,,,,,,,,
1,AFG_ADM1.zip,Afghanistan,2012.0,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,afg_admbnd_adm2_pol_shp.zip,,0,afg_admbnd_adm1_pol_shp.zip,,,,,,,,,,,,
2,AFG_ADM2.zip,Afghanistan,2012.0,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,,0,afg_admbnd_adm2_pol_shp.zip,,,,,,,,,,,,
3,AGO_ADM0.zip,Angola,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Bengo.shp.zip,,0,exported_boundaries_Bengo.shp.zip,,,,,,,,,,,,This URL was manually excluded from checking.
4,AGO_ADM1.zip,Angola,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Bengo.shp.zip,,0,exported_boundaries_Bengo.shp.zip,,,,,,,,,,,,This URL was manually excluded from checking.
5,AGO_ADM2.zip,Angola,2018.0,ADM 2,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,ago_admbnda_adm2_gadm_ine_ocha_20180904,,0,,,,,,,,,,,,,
6,AGO_ADM3.zip,Angola,2018.0,ADM 3,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,ago_admbnda_adm3_gadm_ine_ocha_20180904,,0,,,,,,,,,,,,,
7,ALB_ADM0.zip,Albania,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_Adm1.zip,,0,Albania_Adm1.zip,,,,,,,,,,,,This URL was manually excluded from checking.
8,ALB_ADM1.zip,Albania,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_Adm1.zip,,0,Albania_Adm1.zip,,,,,,,,,,,,This URL was manually excluded from checking.
9,ALB_ADM2.zip,Albania,2013.0,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_AL7.zip,,0,Albania_AL7.zip,,,,,,,,,,,,This URL was manually excluded from checking.
10,ALB_ADM3.zip,Albania,2013.0,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_AL8.zip,,0,Albania_AL8.zip,,,,,,,,,,,,This URL was manually excluded from checking.
11,AND_ADM0.zip,Andorra,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Andorra.shp.zip,,0,exported_boundaries_Andorra.shp.zip,,,,,,,,,,,,This URL was manually excluded from checking.
12,AND_ADM1.zip,Andorra,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Andorra.shp.zip,,0,exported_boundaries_Andorra.shp.zip,,,,,,,,,,,,This URL was manually excluded from checking.
