,Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Unnamed: 11,Link to Source Data.1,Changes,Known Errors,Raw File Name,Recorder (Name),Last Updated Date,Unnamed: 18,Unnamed: 19,Process File Name QA Check,File Name ISO Code,Process File Name Existance Check,Source Check,License Check,License Source Check,Link to Source Data Check
0,AFG_ADM0.zip,Afghanistan,2012.0,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,afg_admbnd_adm1_pol_shp.zip,,0,afg_admbnd_adm1_pol_shp.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
1,AFG_ADM1.zip,Afghanistan,2012.0,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,afg_admbnd_adm2_pol_shp.zip,,0,afg_admbnd_adm1_pol_shp.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
2,AFG_ADM2.zip,Afghanistan,2012.0,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,,0,afg_admbnd_adm2_pol_shp.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
3,AGO_ADM0.zip,Angola,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Bengo.shp.zip,,0,exported_boundaries_Bengo.shp.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
4,AGO_ADM1.zip,Angola,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Bengo.shp.zip,,0,exported_boundaries_Bengo.shp.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
5,AGO_ADM2.zip,Angola,2018.0,ADM 2,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,ago_admbnda_adm2_gadm_ine_ocha_20180904,,0,,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
6,AGO_ADM3.zip,Angola,2018.0,ADM 3,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,No,https://data.humdata.org/dataset/angola-administrative-levels-0-4,ago_admbnda_adm3_gadm_ine_ocha_20180904,,0,,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
7,ALB_ADM0.zip,Albania,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_Adm1.zip,,0,Albania_Adm1.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
8,ALB_ADM1.zip,Albania,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_Adm1.zip,,0,Albania_Adm1.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
9,ALB_ADM2.zip,Albania,2013.0,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_AL7.zip,,0,Albania_AL7.zip,,,,,,,,,,,"Something went wrong when we were checking the license source URL.This can be indicative of many things, but frequently means the license source URL is invalid.  Double check what's going on!","Something went wrong with our check of the data source URL. This error can indicate many things, but frequently means the URL is invalid (i.e., it's not actually a URL)."
