column_0,dstid,sourceid,day,total_records,total_duration,total_squares_duration,total_log_duration,total_squares_log_duration,geoid10,X_geojson,day1_geom,day2_geom
1,1,567,5,3,2363,1974425,19.9187917102621,132.426681769189,42003459202,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.104522,40.428971],[-80.100849,40.430899],[-80.097777,40.428647],[-80.100942,40.425432],[-80.101408,40.42518],[-80.104522,40.428971]]]]},""properties"":{""MOVEMENT_ID"":""1"",""DISPLAY_NAME"":""300 Pennsview Court, Pittsburgh"",""GEOID10"":""42003459202""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.104522,40.428971],[-80.100849,40.430899],[-80.097777,40.428647],[-80.100942,40.425432],[-80.101408,40.42518],[-80.104522,40.428971]]]]},""properties"":{""MOVEMENT_ID"":""1"",""DISPLAY_NAME"":""300 Pennsview Court, Pittsburgh"",""GEOID10"":""42003459202""}}"
2,1,567,12,3,2989,3344539,20.5102859340781,140.646528897558,42003459202,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.104522,40.428971],[-80.100849,40.430899],[-80.097777,40.428647],[-80.100942,40.425432],[-80.101408,40.42518],[-80.104522,40.428971]]]]},""properties"":{""MOVEMENT_ID"":""1"",""DISPLAY_NAME"":""300 Pennsview Court, Pittsburgh"",""GEOID10"":""42003459202""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.104522,40.428971],[-80.100849,40.430899],[-80.097777,40.428647],[-80.100942,40.425432],[-80.101408,40.42518],[-80.104522,40.428971]]]]},""properties"":{""MOVEMENT_ID"":""1"",""DISPLAY_NAME"":""300 Pennsview Court, Pittsburgh"",""GEOID10"":""42003459202""}}",
3,3,567,12,3,4458,7476894,21.700804149499,157.415517692356,42003561200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.88593,40.446907],[-79.885464,40.447695],[-79.884576,40.449303],[-79.884087,40.449144],[-79.879255,40.449756],[-79.878644,40.447082],[-79.879364,40.444729],[-79.880724,40.442343],[-79.887128,40.444464],[-79.88593,40.446907]]]]},""properties"":{""MOVEMENT_ID"":""3"",""DISPLAY_NAME"":""1200 Singer Place, Pittsburgh"",""GEOID10"":""42003561200""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.88593,40.446907],[-79.885464,40.447695],[-79.884576,40.449303],[-79.884087,40.449144],[-79.879255,40.449756],[-79.878644,40.447082],[-79.879364,40.444729],[-79.880724,40.442343],[-79.887128,40.444464],[-79.88593,40.446907]]]]},""properties"":{""MOVEMENT_ID"":""3"",""DISPLAY_NAME"":""1200 Singer Place, Pittsburgh"",""GEOID10"":""42003561200""}}",
4,4,567,5,137,50812,27194268,783.472477312153,4546.30960024991,42003260900,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}"
5,4,567,12,157,62372,34352538,916.751143506374,5394.92882684117,42003260900,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.007697,40.4831],[-80.007489,40.483063],[-80.005976,40.482359],[-80.00322,40.482939],[-80.001767,40.482428],[-80.001683,40.480082],[-79.996517,40.479186],[-79.995346,40.477361],[-79.995833,40.474536],[-79.997611,40.474591],[-80.00055,40.473292],[-80.003564,40.472864],[-80.004454,40.472449],[-80.004997,40.472209],[-80.007463,40.47589],[-80.007759,40.476707],[-80.007785,40.477634],[-80.007549,40.479895],[-80.007509,40.480859],[-80.007554,40.481681],[-80.007846,40.483127],[-80.007697,40.4831]]]]},""properties"":{""MOVEMENT_ID"":""4"",""DISPLAY_NAME"":""100 Boyer Street, Northview Heights, Pittsburgh"",""GEOID10"":""42003260900""}}",
6,5,567,12,100,61056,52809740,626.392791472251,3952.76684256185,42003090100,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}",
7,5,567,5,94,54121,39914375,585.895302157914,3674.0570332029,42003090100,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.964756,40.477917],[-79.963175,40.479766],[-79.96069,40.482055],[-79.955699,40.478347],[-79.957619,40.476127],[-79.958046,40.473859],[-79.958808,40.472818],[-79.96091,40.469796],[-79.96229,40.468707],[-79.963699,40.469822],[-79.968685,40.47275],[-79.964756,40.477917]]]]},""properties"":{""MOVEMENT_ID"":""5"",""DISPLAY_NAME"":""0 44th Street, Lawrenceville, Pittsburgh"",""GEOID10"":""42003090100""}}"
8,6,567,12,372,112378,64859968,2022.62810694219,11189.5937247816,42003980600,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}",
9,6,567,5,289,92398,47096902,1588.49981112858,8908.87086469665,42003980600,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.037337,40.461105],[-80.03149,40.461627],[-80.030582,40.460885],[-80.028568,40.454616],[-80.026642,40.450565],[-80.024991,40.450414],[-80.018897,40.451518],[-80.018068,40.448883],[-80.016424,40.444849],[-80.01629,40.443207],[-80.023004,40.444529],[-80.02709,40.446199],[-80.028228,40.446664],[-80.034783,40.451848],[-80.035853,40.452696],[-80.036,40.453519],[-80.037337,40.461105]]]]},""properties"":{""MOVEMENT_ID"":""6"",""DISPLAY_NAME"":""1800 North Franklin Street, Chateau, Pittsburgh"",""GEOID10"":""42003980600""}}"
10,7,567,5,15,17063,25918709,103.79671836558,721.20582404919,42003981800,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.907929,40.48362],[-79.90653,40.483936],[-79.905354,40.486726],[-79.90168,40.486218],[-79.8882,40.483948],[-79.8843,40.483393],[-79.883772,40.483406],[-79.884665,40.479312],[-79.886561,40.478184],[-79.887081,40.47592],[-79.887722,40.474975],[-79.889086,40.475473],[-79.890637,40.474694],[-79.898424,40.475723],[-79.899177,40.476061],[-79.904563,40.474025],[-79.908275,40.474216],[-79.907929,40.48362]]]]},""properties"":{""MOVEMENT_ID"":""7"",""DISPLAY_NAME"":""7100 Leech Farm Road, Lincoln-Lemington-Belmar, Pittsburgh"",""GEOID10"":""42003981800""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.907929,40.48362],[-79.90653,40.483936],[-79.905354,40.486726],[-79.90168,40.486218],[-79.8882,40.483948],[-79.8843,40.483393],[-79.883772,40.483406],[-79.884665,40.479312],[-79.886561,40.478184],[-79.887081,40.47592],[-79.887722,40.474975],[-79.889086,40.475473],[-79.890637,40.474694],[-79.898424,40.475723],[-79.899177,40.476061],[-79.904563,40.474025],[-79.908275,40.474216],[-79.907929,40.48362]]]]},""properties"":{""MOVEMENT_ID"":""7"",""DISPLAY_NAME"":""7100 Leech Farm Road, Lincoln-Lemington-Belmar, Pittsburgh"",""GEOID10"":""42003981800""}}"
